accomplishment,"n. 成就, 完成"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
convex,"a. 中凸的, 凸圆的, 凸面的
n. 凸状, 凸面体, 凸面结构"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
criticize,"v. 批评, 吹毛求疵, 非难"
dealer,"n. 经销商, 商人
"
defecate,"vt. 除去污物, 澄清, 净化
vi. 澄清, 排便"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
drastic,"a. 激烈的
"
flake,"n. 小薄片, 扁薄的一层, 火星, 晒鱼架子
vt. 使成薄片
vi. 剥落"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
geology,"n. 地质学, 地质情况"
glaze,"n. 釉, 上光, 光滑面
vt. 装以玻璃, 上釉于
vi. 变得光滑, (目光)变呆滞"
grading,"[经] 分级, 归类"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
hind,"n. 雌鹿
a. 后部的, 在后的"
hominid,n. 人科的动物
hypothesis,"n. 假设
"
illegible,"a. 难辨认的, 字迹模糊的"
incoming,"a. 进来的, 刚开始的, 新来的
n. 进来"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
instruct,"vt. 教, 教育, 命令, 通知
"
insulate,"vt. 使绝缘, 隔离
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
legend,"n. 传说, 传奇文学, 图例
"
legible,"a. 清晰的, 易读的"
lime,"n. 石灰, 粘鸟胶, 酸橙
vt. 以石灰处理, 粘鸟胶于, 撒石灰"
livelihood,"n. 生计, 营生, 生活"
lizard,"n. 蜥蜴
"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
maturity,"n. 成熟, 完备, 到期
"
militant,a. 好战的
mosaic,"n. 马赛克, 镶嵌细工, 镶嵌工艺
a. 马赛克的, 镶嵌细工的, 拼花的
vt. 用镶嵌细工装饰
"
motivation,"n. 动机, 刺激, 推动
"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
pebble,"n. 小圆石, 小鹅卵石, 水晶透镜, 碎石花纹
"
posthumous,"a. 遗腹的, 死后的
"
preoccupation,"n. 抢先占据, 先人之见, 入神
"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
publicize,vt. 宣传
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
recipe,"n. 食谱, 处方, 秘诀
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
rekindle,"vt. 再点火, 重新激起
vi. 重新燃烧"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
rental,"n. 租费, 租金收入
a. 租赁的, 收取租金的"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
revision,"n. 校订, 修正, 修订本, 修订版
"
rite,"n. 仪式, 典礼, 惯例, 礼拜式"
rugged,"a. 高低不平的, 崎岖的, 粗糙的"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
skeletal,"a. 骨骼的, 框架的
"
stark,"a. 僵硬的, 完全的, 刻板的, 明显的, 荒凉的, 结实的
adv. 突出地, 简直, 全然"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
sunset,"n. 日落, 晚年"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
unique,"a. 独一无二的, 独特的, 稀罕的"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
accelerate,"v. 加速, 促进"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
accumulate,"v. 积聚, 堆积"
adjacent,"a. 毗连的, 邻近的, 连接的
"
applicant,"n. 申请者
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
asteroid,"n. 小行星, 海盘车
a. 星状的"
chronical,a. 慢性的；延续很长的
clam,"n. 蛤, 沉默寡言的人
vi. 捞蛤"
complicated,"a. 复杂的
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
considerable,"a. 相当的, 可观的, 重要的"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
dazzling,"a. 眼花缭乱的, 耀眼的"
decadent,"a. 衰微的, 颓废的
n. 颓废派"
discrete,"a. 不连续的, 离散的
"
displace,"vt. 移置, 替换, 转移"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
extol,"vt. 颂扬, 称赞, 吹捧"
extrinsic,"a. 外在的, 外来的, 非国有的, 外表的
"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
fragment,"n. 碎片, 破片, 片段
"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
gibe,"v. 嘲笑
n. 嘲笑"
glean,"v. 拾落穗, 收集"
gourmet,n. 美食家
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
hive,"n. 蜂房, 闹区, 蜜蜂群
vi. 进入蜂房, 储藏蜜于蜂房, 如蜂般群居
vt. 使进蜂房, 储备
"
hydrogen,"n. 氢
"
identical,"a. 同一的, 恒等的, 完全相同的
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
insight,"n. 察看, 洞察力, 见识
"
insistence,"n. 坚持, 坚决主张"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
ledge,"n. 突出部分, 暗礁, 矿层"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
lore,"n. 知识, 眼光"
magma,"n. 岩浆, 糊剂, 乳浆剂
"
malnutrition,"n. 营养失调, 营养不良
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
massive,"a. 大而重的, 宽大的, 宏伟的
"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
mountainous,"a. 多山的, 如山的, 巨大的"
neon,"n. 氖
"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地
"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
pocketbook,"n. 笔记本, 钱袋, 皮夹, 经济来源"
portray,"vt. 描绘, 描写, 描绘...的肖像"
presentation,"n. 赠与, 描述, 介绍
"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
purity,"n. 纯净, 纯正, 纯粹
"
reasonable,"a. 合理的, 明理的, 适当的
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
reservation,"n. 保留, 预定, 保留品, 保留地
"
scarce,"a. 难得的, 稀罕的, 缺乏的"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
simplify,"vt. 单一化, 简单化"
smelting,[化] 熔炼; 冶炼
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
stash,"vt. 藏起来
n. 隐藏处, 隐藏物"
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见
"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
surpass,"vt. 超越, 凌驾, 胜过"
tarnish,"n. 失泽, 失泽膜, 污点
vt. 使失去光泽, 玷污
vi. 失去光泽, 被玷污"
timber,"n. 木材, 木料
vt. 用木材建造"
trait,"n. 特征, 特性, 一笔, 少许"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
uneven,"a. 不平坦的, 不均等的, 奇数的"
virtually,adv. 事实上
yogurt,"n. 酸乳酪
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
alphabet,"n. 字母
"
antibiotic,"n. 抗生素
a. 抗生的"
avoid,"vt. 避免, 防止, 撤消
"
behavior,"n. 行为, 举止
"
beneficial,"a. 有益的, 受益的
"
bet,"n. 打赌, 赌注
v. 打赌"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
cafeteria,"n. 自助餐厅
"
compete,"vi. 竞争, 对抗"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
confusion,"n. 混乱, 混淆, 无秩序
"
consequently,adv. 所以
constricted,"v. 压缩, 压紧, 使收缩( constrict的过去式和过去分词)"
cultivated,"a. 耕耘的, 栽植的, 有教养的"
daisy,"n. 雏菊, 一流人物
a. 第一流的"
devote,"vt. 投入于, 献身"
dioxide,"n. 二氧化物
"
discern,"v. 辨别, 看清楚, 了解"
discrimination,"n. 差别, 岐视, 辨别力
"
documentary,"n. 记录片
a. 文件的"
domestic,"a. 家庭的, 国内的, 驯养的
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
elective,"a. 选举的, 根据选举的, 选修的
n. 选修课程"
element,"n. 元件, 元素, 要素
"
enlightenment,"n. 启迪, 教化"
equitable,"a. 公平的, 公正的
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
ethics,"n. 道德规范
"
federal,"a. 联邦的, 联合的, 同盟的
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
fresco,"n. 湿壁画, 湿壁画技法
vt. 作湿壁画于"
frivolity,"n. 轻薄, 轻率, 不足取的事"
fruitless,"a. 不结果的, 不长果实的, 无子的"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
gradient,"n. 倾斜度, 梯度, 坡度, 斜率
a. 渐升的, 渐降的, 步行的"
hazel,"n. 榛子, 榛树, 淡褐色
a. 榛树的, 淡褐色的"
herb,"n. 药草, 香草
"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
hue,"n. 样子, 色度, 色彩, 叫声, 色调
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
instructor,"n. 教员, 讲师
"
intrinsic,"a. 本质的, 原有的, 真正的
"
jogging,"n. 慢跑
"
kernel,"n. 核心, 中心, 精髓, 内核
"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
liberate,"vt. 解放, 释放, 使自由
"
mansion,"n. 大厦, 宅邸"
mottled,"a. 杂色的, 斑驳的
"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
noted,"a. 著名的, 显著的, 扬名的"
oceanographer,n. 海洋学家
paralyze,"vt. 使瘫痪, 使麻痹
"
parasite,"n. 寄生生物, 寄生虫, 食客
"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
regenerate,"vt. 使再生, 重建, 革新
vi. 新生, 再生
a. 新生的, 再生的
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
resilience,"n. 弹回, 有弹力, 恢复力
"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
sustained,"a. 持续的, 持久不变的, 持久的, 不懈的
"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
traditional,"a. 传统的, 惯例的
"
tundra,"n. 苔原, 冻原"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
universe,"n. 宇宙, 星系, (思想等)范围"
vessel,"n. 船, 容器, 脉管
"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
abound,"vi. 大量存在, 富于, 充满"
amble,"n. 马的缓行步态, 缓行漫步
vi. 马缓行, 从容漫步"
astronomical,"a. 天文学的, 庞大的"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
bellows,"n. 风箱
"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
cape,"n. 岬, 海角, 披肩, 斗蓬"
caterpillar,"n. 毛虫
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
collectively,"adv. 集合, 聚合性, 共同, 集体主义, 集团, 集体"
colonize,"vi. 开拓殖民地
vt. 殖民于, 移植于"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
continuum,"n. 连续统一体, 连续统, 闭联集
"
convenience,"n. 方便, 便利的事物, 方便的时候"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
depend,"vi. 靠, 视...而定, 信赖"
distract,"vt. 转移, 分心, 使发狂"
eclecticism,"n. 折衷派, 折衷主义, 折衷说
"
elasticity,"n. 弹力, 弹性
"
embellish,"vt. 修饰, 装饰, 润色"
endangered,a. 有生命危险的；濒临灭绝的
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
era,"n. 时代, 纪元, 时期"
evacuation,"n. 撤退, 疏散
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
facade,"n. 建筑物的正面, 外观, 表面"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
guideline,"n. 指导路线, 方针, 指标
"
haste,"n. 匆忙, 急忙"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
inflammation,"n. 怒火, 发火, 燃烧, 发炎
"
informed,a. 见多识广的
install,"vt. 安装, 安置, 使就职
"
irreverent,"a. 不敬的, 不逊的, 无礼的"
jeans,"n. 工装裤, 牛仔裤"
jewelry,"n. 珠宝, 珠宝类"
maglev,n. & adj.磁力悬浮火车(的)
maize,"n. 玉蜀黍, 黄色
a. 玉蜀黍色的, 黄色的"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
mime,"n. 哑剧, 小丑, 滑稽戏
v. 摸拟表演
"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
molten,"a. 熔化的, 炽热的, 铸造的
melt的过去分词"
notate,"vt.以符号表示,把.....写成记号(或标志)"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
pinpoint,"n. 极小之物, 针尖, 立锥之地, 精确位置
vt. 精确地找到, 准确地轰炸, 刺穿, 准确描述, 使突出, 强调
a. 针尖的, 极微的, 精确的, 详尽的, 精确定位的"
preference,"n. 偏爱, 优先, 喜爱物
"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
radioactive,"a. 放射性的, 有放射能的
"
rainbow,"n. 彩虹
a. 五彩缤纷的"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
rebellion,"n. 谋反, 叛乱, 反抗
"
reconstruction,"n. 改造, 再建
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
scenery,"n. 风景, 景色, 舞台布景"
silicate,"n. 硅酸盐
"
situated,"a. 位于...的, 坐落在...的, 处于某种境地的
"
skull,"n. 头盖骨, 头脑, 好学生
"
slog,"n. 猛击, 苦干, 跋涉
v. 猛击, 苦干"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
tableland,n. 高地
testimony,"n. 证言, 证据, 声明
"
thread,"n. 线, 丝, 纤维, 线索
vt. 穿线于, 穿过, 通过, 用线穿成
vi. 穿过
"
thrifty,"a. 节俭的, 兴旺的, 繁茂的"
tinker,"n. 补锅匠, 会做各种修补活计的人
vi. 做焊锅匠, 笨拙的修补
vt. 修补"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
unconsolidated,"a. 松散的,疏松的,非层状的"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
ambience,"n. 周围环境, 气氛"
ancestor,"n. 祖先, 祖宗"
anecdotal,"a. 轶事的, 爱谈奇闻轶事的, 多轶事的"
animation,"n. 活泼, 生气, 激励, 卡通制作
"
announcement,"n. 公告, 发表, 告知
"
apartment,"n. 房间, 公寓"
arthritis,"n. 关节炎
"
authentic,"a. 可靠的, 可信的, 真正的
"
banner,"n. 旗帜
a. 显著的, 特别好的"
botany,"n. 植物学
"
calcium,"n. 钙
"
chaste,"a. 贞洁的, 纯洁的, 朴素的"
classical,"a. 古典的, 正统派的, 经典的
"
client,"n. 客户, 顾客, 委托人
"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
commodity,"n. 农产品, 商品, 有用的物品
"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
concise,"a. 简洁的, 简明的"
confederacy,"n. 联盟, 邦联
"
contagious,"a. 触染性的, 会蔓延的
"
convention,"n. 大会, 协定, 惯例, 约定
"
deplete,"vt. 耗尽, 使衰竭
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
distinction,n. 区别
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
emblem,"n. 象征, 徽章, 符号
vt. 用象征表示"
energetic,"a. 精力充沛的, 积极的"
existence,"n. 存在, 生存
"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
