intellect,"n. 智力, 出众的才华, 知识分子
"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
top-down,"[经] 组织(控制,管理)严密的"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
airline,"n. 航线, 航线的设备, 航空公司"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
guilt,"n. 罪行, 内疚
"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
misunderstand,"vt. 误解, 误会"
rely,"vi. 信赖, 依赖, 信任"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
utopia,"n. 乌托邦, 理想国"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
boycott,"n. 联合抵制
vt. 联合抵制"
chromosome,"n. 染色体
"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
"
infirm,"a. 弱的, 虚弱的, 柔弱的
"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
religion,"n. 宗教, 信仰
"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
archaeological,"a. 考古学的, 考古学上的"
beginning,n. 开始
Brexit,[网络] 英国退出欧盟
century,"n. 世纪, 百年"
dearth,"n. 缺乏, 粮食不足, 饥馑"
downside,n. 底侧；下降趋势
enable,"vt. 使能够
"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
frequency,"n. 频率, 频数
"
guideline,"n. 指导路线, 方针, 指标
"
housewife,"n. 主妇, 家庭妇女"
infest,"vt. 骚扰, 寄生于, 大批出没
"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
maximal,"a. 最大的, 最高的
"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
novelist,n. 小说家
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
Polynesian,"a. 波利尼西亚人的, 波利尼西亚的
n. 波利尼西亚人"
recklessly,"adv. 不注意, 粗心大意, 不在乎, 鲁莽, 不顾后果, 不顾一切, 妄动"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
shore,"n. 海岸, 海滨, 斜撑柱
vt. 把...送上岸, 支撑, 支持"
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
unworthy,"a. 不值得的, 不相称的"
wasp-waist,"n. 蜂腰, 细腰"
brain,"n. 脑
vt. 打碎脑部"
espionage,"n. 间谍活动
"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
shear,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切
vt. 修剪, 割, 剥夺, 横越, 削剪
vi. 剪, 修剪, 剪羊毛, 切断"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
low,"n. 低点, 低价, 低, 牛叫声
a. 低的, 消沉的, 低等的, 浅的, 卑贱的
adv. 低下地, 谦卑地, 低
vi. 牛叫"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
shelf,"n. 架子, 搁板
"
townsfolk,"n. 镇民, 市民, 城里生长的人, 城镇居民"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
chunk,"n. 大块, 矮胖的人(或物)
"
low-level,
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
toxic,"a. 有毒的, 中毒的
"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
detach,"vt. 使分离, 分遣
"
informality,n. 非正式
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
cigar,n. 雪茄
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
inhabit,"vt. 居住于, 占据, 栖息"
lucre,"n. 收益, 钱财"
remind,"vt. 提醒, 使想起"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
detect,"vt. 发现, 察觉, 探测
"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
remold,"vt. 改造, 改铸"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
deteriorate,v. (使)恶化
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
inhuman,"a. 残忍的, 无人性的, 非人类的
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
cite,"vt. 引用, 引证, 表彰
"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
fond,"a. 喜欢的, 宠爱的, 温柔的"
innermost,"a. 内心的, 秘密的, 最深处的"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
affected,"a. 假装的, 做作的, 受影响的"
aristocrat,n. 贵族
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
comparable,"a. 可比较的, 比得上的"
deep-seated, [医]深在的
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
endangered,a. 有生命危险的；濒临灭绝的
eventually,"adv. 最后, 终于"
filer,"n. 文件编档员, 文件装钉员, 锉磨工人
"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
guild,"n. 团体, 协会, 行业协会
"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
jackpot,"n. 最大赌注, (彩票的)头奖, 最大成功, 意外的成功/奖赏, 困境"
lessen,"vt. 减少, 缩小, 减轻
vi. 变小"
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
outpouring,"n. 注出, 流出, 流露"
popularity,"n. 名声, 受大众欢迎, 流行"
prompting,"n. 刺激, 激励, 提示
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
Saturday,n. 星期六
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
sparingly,"adv. 节约地, 爱惜地, 吝惜地, 少量地, 贫乏地"
taxpayer,"n. 纳税人
"
tort,"n. 民事侵权行为
"
watcher,"n. 看守人, 守望者, 哨兵"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
along,"adv. 平行地, 向前
prep. 沿着"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
parachute,"n. 降落伞
vi. 跳伞"
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
renege,"vi. 违例出牌, 食言, 毁约
vt. 否认, 放弃, 拒绝
n. 出牌违例"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
brochure,"n. 小册子, 小册"
devil,"n. 魔鬼
vt. 折磨, 戏弄"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
clamp,"n. 夹钳
vt. 夹紧, 强加"
devote,"vt. 投入于, 献身"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
trait,"n. 特征, 特性, 一笔, 少许"
altitude,"n. 高度, 海拔, 高处
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
foreign-born,"adj. 在外国出生的
"
insatiable,"a. 不知足的, 贪求无厌的
"
monster,"n. 怪物, 恶人, 巨物
"
harmony,"n. 协调, 和睦, 调和
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
transaction,"n. 交易, 办理, 学报, 和解协议
"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
foremost,"a. 最初的, 最重要的
adv. 在最前"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
foresee,"vt. 预见, 预知"
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
amaze,vt. 使吃惊
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
differ,"vi. 不一致, 不同
"
evidence,"n. 根据, 证据, 迹象
"
insight,"n. 察看, 洞察力, 见识
"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
bummer,"n. 无赖, 游民, 游荡者"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
digit,"n. 数字, 位数, 指头
"
convention,"n. 大会, 协定, 惯例, 约定
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
similar,"a. 相似的, 类似的
n. 相似的东西"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
clergyman,n. 牧师
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
formation,"n. 形成, 构造, 编队
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
belt,"n. 带子, 地带
"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
children,"pl. 孩子, 孩子们"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
corrupted,a. 毁坏的；腐败的；崩溃的
delete,"vt. 删除
"
driving,"n. 赶, 操纵, 驾驶
a. 推进的, 强劲的, 精力旺盛的"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
everlasting,"a. 永恒的, 持久的
n. 上帝, 神"
film-making,n. 制片，电影摄制
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
inflation,"n. 胀大, 夸张, 通货膨胀
"
lesson,"n. 课, 课业, 教训"
meadow,"n. 草地, 牧场"
Monday,n. 星期一
outsider,"n. 外人, 局外人, 非会员, 外行, 门外汉, 比赛中获胜可能性不大的选手
"
accelerate,"v. 加速, 促进"
percent,"n. 百分比, 百分数, 部分
"
pork,"n. 猪肉
"
redirect,"vt. 重新寄送, 使改道, 使改方向
"
responsive,"a. 回答的, 应答的, 易感应的"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
specifically,"adv. 特定地, 明确地, 按特性"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
underuse,"vt.未充分利用(设施等),浪费地使用,使用…不当"
watershed,"n. 流域, 分水岭
"
within,"n. 内部, 里头
adv. 在内部, 在内心里
prep. 在...之内"
bun,"n. 小面包
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
ample,"a. 大量的, 充足的, 丰富的"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
republic,"n. 共和国, 共和政体, 团体, 界"
simulate,"vt. 模拟, 假装, 模仿
"
burse,n. 钱包；（大学 ）奖学金
cliff,"n. 悬崖, 绝壁"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
example,"n. 例子, 样本, 实例
"
formula,"n. 客套语, 公式, 准则
"
instead,"adv. 作为替代, 反而"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
climate,"n. 气候, 社会趋势, 气候区
"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
procreation,"n. 生产, 生殖
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
tribe,"n. 宗族, 部落, 一群人
"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
deprive,"vt. 剥夺, 使丧失
"
disappear,"vi. 消失, 不见"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
require,"vt. 需要, 命令, 要求
"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
disappoint,vt. 使失望
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
sceptical,"a. 怀疑论的, 怀疑的"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
disapproval,n. 不赞成
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
insurance,"n. 保险, 保险业, 保险费
"
mystery,"n. 秘密, 神秘, 奥秘"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
by-product, 副产品，副产物
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
disaster,"n. 灾祸, 不幸, 彻底失败"
excite,"vt. 刺激, 使兴奋, 激励"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
myth,"n. 神话, 虚构的事, 虚构的人"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
anecdote,"n. 轶事, 奇闻"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
phony,"n. 假货, 假冒者, 赝品
a. 伪造的, 假的, 不可信的, 华而不实的"
reshape,"vt. 改造, 使成新的形状, 打开新局面
vt. 整形
vi. 整形
"
skull,"n. 头盖骨, 头脑, 好学生
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
fraction,"n. 小部分, 破片, 分数
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
Asia,n. 亚洲
benefactor,"n. 恩人, 捐助者, 施主
"
Britain,n. 英国
civilization,"n. 文明, 教化
"
conclusion,"n. 结论, 结尾, 推论
"
corruption,"n. 腐败, 堕落, 贪污
"
disconcert,"vt. 使困惑, 使仓皇失措, 打乱(计划等)"
finally,"adv. 最后, 终于"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
hacking,"[计] 程序""挖口""不轨用机"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
idealized, 理想化的
interesting,a. 有趣的
jobless,"a. 失职的, 无职业的
"
liberalize,"vt. 宽大, 使自由主义化
vi. 自由主义化"
mealtime,n. 进餐时间
monetary,"a. 货币的, 金钱的
"
obesity,"n. 肥胖
"
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
proportionality,"n. 比例性, 相称, 均衡性
"
refined,"a. 精炼的, 优雅的, 精细的
"
retiring,"a. 行将隐退的, 行将退休的, 就寝的"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
undoubted,"a. 无疑的, 确实的
"
uplifting,"a. 令人振奋的; 使人开心的
v. 举起(uplift的现在分词)"
weakness,"n. 虚弱, 薄弱, 弱点
"
wordy,"a. 罗唆的, 口头的, 多言的"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
physiology,"n. 生理学, 生理机能
"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
troublemaker,n. 惹麻烦的人
discover,"vt. 发现, 找到, 暴露
vi. 发现"
exert,"vt. 发挥, 运用, 施以影响
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
