identical,"a. 同一的, 恒等的, 完全相同的
"
retract,"v. 缩回, 收回, 取消, 撤消"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
subtraction,"n. 减少
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
excerpt,"n. 摘录
v. 引用, 摘录"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
trailer,"n. 追踪者, 拖车
"
trawl,"n. 拖网
v. 用拖网捕鱼"
trawler,"n. 拖网渔船
"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
traitor,"n. 叛逆者, 叛国者
"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
treatment,"n. 治疗, 待遇, 处理
"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
treaty,"n. 条约, 谈判
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
amass,"vt. 积聚, 堆积"
massive,"a. 大而重的, 宽大的, 宏伟的
"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
massage,"n. 按摩, 揉
vt. 按摩, 揉"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
promising,"a. 有希望的, 前途有望的
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
uncompromising,"a. 不让步的, 不妥协的, 坚定的
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
inspirit,"vt. 激励, 使振奋"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
spirituality,"n. 精神性, 灵性, 教士, 牧师"
aspire,"vi. 渴望, 立志于"
aspiration,"n. 热望, 志向, 渴望
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
inspiring,a. 鼓舞人心的
dispirit,"vt. 使沮丧, 使气馁"
dispirited,"a. 沮丧的, 意气消沉的, 没精打采的, 没有精神的, 垂头丧气的"
despair,"n. 绝望, 失望
vi. 绝望"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
desperately,adv. 拼命地；绝望地；极度地
desperation,n. 绝望
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
prosperity,"n. 繁荣, 茂盛, 成功
"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
conspiracy,"n. 同谋, 阴谋, 阴谋集团
"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
expiration,"n. 终止, 满期, 呼出, 呼气
"
expiry,"n. 终结, 满期, 呼气, 断气
"
respire,v. 呼吸
respiration,"n. 呼吸, 一口气, 呼吸作用
"
transpire,"vt. 使蒸发, 使排出
vi. 蒸发, 散发, 泄露"
science,"n. 科学, 学科, 学问, 自然科学
"
conscience,"n. 良心
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
conscientiously,"adv. 认真, 凭良心做, 尽心尽责, 谨慎, 诚心诚意"
conscious,"a. 有意识的, 知觉的, 觉察的
"
consciousness,"n. 意识, 知觉, 自觉
"
self-conscious,"adj. 自觉的；怕难为情的；害羞的
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
omniscient,"a. 全知的, 无所不知的
n. 无所不知者, 上帝"
binary,"a. 由两部分组成的, 二进位的, 二元的
"
chauvinism,"n. 盲目的爱国主义, 沙文主义
"
deem,"v. 认为, 相信"
enthral,"vt. 迷住, 奴役, 使做奴隶, 吸引住"
enthrall,"vt. 迷惑, 奴役, 迷住"
foist,"vt. 硬卖给, 偷偷插入, 使混入"
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
hornet,n. 大黄蜂
lagoon,"n. 环礁湖, 近海岸的浅水区, 泻湖, 咸水湖"
mitten,"n. 连指手套, 拳击手套"
pastoral,"n. 牧歌, 田园诗
a. 牧人的, 田园生活的, 牧师的, 田园式的"
rascal,"n. 流氓, 无赖, 坏蛋, 淘气鬼
"
scalp,"v. 剥头皮
n. 头皮, 战利品"
stutter,"n. 口吃, 结结巴巴
v. 结结巴巴地说"
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
zany,"n. 小丑, 笨人, 马屁精
a. 滑稽的, 滑稽愚蠢的"
billow,"n. 巨浪
vi. 象巨浪般汹涌, 象巨浪般波动
vt. 使翻腾"
chasm,"n. 陷窟, 裂口"
decoy,"n. 圈套, 诱骗
vt. 诱骗"
ensconce,"vt. 安顿下来, 安置, 使隐藏"
foible,"n. 弱点, 缺点"
grisly,"a. 可怕的, 厉害的, 令人畏惧的"
hormone,"n. 荷尔蒙
"
lager,n. 贮陈啤酒
miscellaneous,"a. 各种的, 多方面的
"
pastel,"n. 粉蜡笔, 粉蜡笔画, 随笔
a. 彩色蜡笔的, 蜡笔画的, 柔和的, 纤弱的"
rapt,"a. 全神贯注的, 入迷的, 出神的
rap的过去式和过去分词"
scallop,"n. 扇贝
vt. 用扇贝状碟烘烤
vi. 拾扇贝"
smolder,"vi. 闷烧, 郁积
n. 闷烧"
smoulder,"vi. 闷烧, 郁积
n. 闷烧"
trombone,"n. 长号
"
yummy,"a. 美味的, 可口的, 赏心悦目的, 愉快的"
billiards,"n. 台球, 桌球"
cathedral,n. 大教堂
chaplain,n. 牧师
gospel,"n. 福音, 信仰, 真理"
debris,"n. 碎片, 残骸
"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
fogy,"n. 守旧者, 赶不上时代的人"
fogey,"n. (思想)守旧者, 抱残守缺的人"
gripe,"n. 紧握, 柄, 把手, 控制
vt. 抓紧, 抱住, 使肠痛, 激怒
vi. 肠绞痛, 抱怨"
horde,"n. (一)群, 游牧部落, 移动群
vi. 成群结队"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
mink,"n. 貂, 貂皮衣"
parsley,"n. 皱叶欧芹, 荷兰芹
"
rap,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
"
scaffold,"n. 脚手架, 绞刑台
"
smear,"vt. 涂, 擦上, 玷污, 把...擦模糊
vi. 被弄脏
n. 污点, 污迹, 污蔑"
trolley,"n. 电车, 手推车, 台车
vt. 用手推车运
vi. 乘电车"
yolk,"n. 蛋黄, 卵黄
"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
debilitate,vt. 使衰弱
flurry,"n. 疾风, 飓风, 慌张
vt. 使恐慌, 使激动
vi. 慌张"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
hopper,"n. 跳跃的东西, 单足跳者, 跳虫
"
lacquer,"n. 瓷漆, 漆, 漆器
vt. 涂漆"
recite,"v. 背诵, 朗读, 叙述"
recital,"n. 背诵, 吟诵, 详述
"
recitation,"n. 详述, 吟诵, 背诵的诗
"
cite,"vt. 引用, 引证, 表彰
"
incite,"vt. 刺激, 激励, 引诱
"
solicit,"v. 请求, 乞求, 招揽, 征求"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
quotation,"n. 引用语, 语录, 牌价, 报价
"
quota,"n. 配额, 限额
"
quotient,"n. 商, 份额
"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
flatten,"vi. 使...不活跃, 变平
vt. 弄平, 打倒, 使失去光泽"
flatter,"vt. 奉承, 阿谀, 使高兴
"
flattery,"n. 谄媚, 阿谀, 巴结"
conflate,vt. 合并；异文合并
deflate,"vt. 放气, 抽出空气, 使缩小
vi. 缩小"
deflation,"n. 放气, 缩小, 通货紧缩
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
claimant,"n. 提出要求者, 原告
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
declaim,"v. 慷慨陈词, 演讲, 朗读"
disclaim,"v. 放弃, 弃权, 拒绝承认"
exclaim,"v. 大叫, 呼喊, 大声叫"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
proclamation,"n. 宣言, 公布, 布告, 公告
"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
clamour,"n. 喧闹
v. 大声地要求"
fraction,"n. 小部分, 破片, 分数
"
fractional,"a. 部分的, 碎片的, 微少的, 断片的, 分数的, 分馏的
"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
fragment,"n. 碎片, 破片, 片段
"
fragmentary,"a. 碎片的, 碎屑的, 片断的, 断片的, 碎块的, 不完全的, 不连续的, 不完整的"
fragile,"a. 易碎的, 脆的
"
infringe,"v. 破坏, 侵犯, 违反"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
magnanimous,"a. 宽宏大量的, 有雅量的
"
magnate,"n. 大官, 巨头
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majestic,"a. 宏伟的, 庄严的"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
office,"n. 办公室, 部, 公职, 职责
"
efficacy,"n. 功效, 效力
"
efficacious,"a. 有效的, 灵验的"
efficient,"a. 有效率的, 能干的"
coefficient,"n. 系数
"
inefficient,"a. 无效率的, 无能的
"
efficiency,"n. 效率, 效能, 功效
"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
proficiency,"n. 精通, 熟练, 精练"
deficient,"a. 不足的, 不充分的, 有缺陷的"
deficiency,"n. 缺乏, 不足
"
deficit,"n. 赤字, 不足额
"
sufficient,"a. 充分的, 足够的
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
self-sufficient,"adj. 自给自足的；过于自信的；傲慢的
"
sufficiency,"n. 充足, 充分的数量, 自负"
suffice,"vi. 足够, 有能力
vt. 满足"
benefit,"n. 利益
vt. 有益于
vi. 受益"
beneficial,"a. 有益的, 受益的
"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
profiteer,"n. 获暴利的人, 奸商
vi. 获暴利, 赚大钱"
feasible,"a. 能实行的, 可行的, 适宜的
"
text,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
pretext,"n. 借口, 托词
v. 以...为借口"
textual,"a. 文本的, 原文的
"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
fabricate,"vt. 制造, 建造, 装配, 伪造"
prefabricate,"vt. 预先制造, 预先准备
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
invisible,"a. 看不见的, 无形的
"
visibility,"n. 可见性, 能见度, 能见距离
"
visage,"n. 脸, 面貌, 容貌"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
visitation,"n. 访问, 探望, 视察"
vista,"n. 远景, 展望, 回想"
visual,"a. 视觉的
"
improvise,"vt. 即席创作, 临时做"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
supervise,"v. 监督, 管理, 指导"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
envisage,"vt. 面对, 正视, 想象"
envision,"vt. 想象, 预想"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
evident,"a. 显然的, 明显的"
evidently,"adv. 明显地, 根据现有证据来看"
self-evident,adj. 不证自明的
evidence,"n. 根据, 证据, 迹象
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
provisional,"a. 暂时的, 暂定的, 临时的
"
provided,"conj. 倘若, 以...为条件"
provident,"a. 有先见之明的, 有远虑的, 节俭的"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
imprudent,"a. 轻率的, 鲁莽的"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
enviable,"a. 令人羡慕的, 可羡慕的"
invidious,"a. 引起反感的, 惹人不快的, 不公平的, 诽谤的"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
certain,"a. 确定的, 某一个的, 必然的
"
certainty,"n. 确定, 确实的事情
"
ascertain,"vt. 确定, 查明
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
certify,"v. 证明, 保证"
certitude,"n. 确实性, 确信"
millet,"n. 稷, 粟, 黍
"
parry,"vt. 挡开, 回避, 闪避的回答
n. 挡开, 回避, 闪避的回答"
ransom,"n. 赎金, 赎身, 赎回
vt. 赎, 赎身, 赎回, 勒索赎金"
scab,"n. 痂, 恶棍, 工贼
vi. 结痂, 当工贼"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
stunt,"n. 特技, 绝技, 花招, 噱头, 手腕, 发育不良
vt. 阻碍成长
vi. 表演特技"
trinket,"n. 小件饰物, 无价值的琐碎东西, 小玩意儿"
bigot,"n. 盲从者, 偏执的人"
chalet,n. 瑞士山中的牧人小屋
debacle,"n. 崩溃, 大失败"
encroach,"vi. 侵犯, 侵蚀, 蚕食
"
grid,"n. 格子, 栅格
"
hoover,"n. 胡佛电动吸尘器
vi. 用真空吸尘器打扫"
migraine,"n. 严重的周期性偏头痛
"
parody,"n. 打油诗文, 诙谐的模仿诗文, 拙劣的模仿
vt. 拙劣模仿, 作模仿诗文"
randy,"a. 喧闹的, 大声的, 好色的
n. 粗鲁悍妇, 莽汉"
smack,"n. 风味, 滋味, 少量, 拍击声, 咂嘴声, 小渔船, 海洛因
vi. 有味道, 咂嘴, 发出拍击声
vt. 拍, 打, 掴, 咂, 出声地吻
adv. 啪地一声, 猛然"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
trill,"n. 颤声, 颤音, 啭鸣
vt. 用颤声说, 用颤音唱
vi. 发出颤音"
yearn,"vi. 渴望, 想念, 怀念, 同情"
bicker,"vi. 斗嘴, 潺潺而流, 闪动
n. 口角, 流水声"
ceramics,"n. 制陶术
"
deacon,"n. 副主祭, 执事, 行会会长
vt. 朗读, 摆得好看些"
encore,"n. 再演唱的要求, 要次登场
interj. 再演唱一次
vt. 要求再演(或唱)"
flunk,"n. 失败, 不及格
vi. 失败, 考试不及格, 放弃
vt. 使不及格"
hoot,"n. 叫嚣, 嘲骂声, 鸣响
vi. 大声叫嚣, 鸣响, 猫头鹰叫
vt. 呵斥, 轰赶"
knuckle,"n. 指节, 蹄爪, 膝关节
v. 以指节打, 以手指射"
midget,"n. 侏儒
a. 小型的"
parlor,"n. 客厅, 会客室, 小店
a. 客厅的"
parlour,"n. 客厅, 会客室, 雅座
a. 客厅的"
rancor,"n. 敌意, 深仇"
rancour,"n. 敌意, 深仇"
sly,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的"
tribunal,"n. 法庭, 法官席, 裁决
"
yarn,"n. 纱, 纱线, 故事
"
beverage,"n. 饮料
"
celestial,"a. 天的, 天国的, 天空的
"
dawdle,"v. 游手好闲, 混日子"
enclave,"n. 被包围的领土
"
fluke,"v. 侥幸成功
n. 锚爪, 侥幸, 偶然事故"
knack,"n. 熟练技术, 巧妙手法, 诀窍
"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
parish,"n. 教区, 堂区
"
rancid,"a. 像油脂腐臭味的, 腐臭的
"
slumber,"n. 睡眠, 麻木状态
vi. 微睡, 静止, 麻木
vt. 睡着度过(时间)"
trestle,"n. 支架, 搁凳
"
yank,v. 猛拉
bestow,"vt. 授予, 使用, 贮藏, 留宿"
darn,"n. 织补
v. 织补"
enamel,"n. 珐琅, 瓷釉
vt. 涂以瓷釉, 彩饰"
fluff,"n. 软毛, 柔毛, 绒毛, 错误, 无价值的东西
vi. 起毛, 变松, 出错
vt. 使起毛, 抖松, 念错"
hooligan,"n. 小流氓
"
kiwi,"n. 鹬鸵, 地勤人员, 新西兰人"
methane,"n. 甲烷, 沼气
"
ranch,"n. 大牧场
v. 经营牧场"
savant,"n. 学者, 专家"
slum,"n. 贫民窟
vi. 访问贫民区"
stubble,"n. 残株, 茬"
trance,"n. 昏睡状态, 恍惚, 着迷
vt. 使恍惚, 使发呆"
yahoo,"n. 人面兽心的人, 乡愚, 粗汉"
berth,"n. 船岸之间的水区, 锚地, 卧铺
vi. 停泊
vt. 使停泊"
dappled,"a. 斑纹的, 花斑的"
empirical,"a. 完全跟据经验的, 经验主义的
"
flout,"vt. 嘲笑, 愚弄
vi. 表示轻蔑
n. 嘲笑, 愚弄, 轻视"
gravel,"n. 砂砾, 碎石
"
kiosk,"n. 亭, 凉亭, 报摊"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
handlebar,"n. 手把, 八字胡"
barracks,"n. 兵营, 营房；简陋的房子；警察所（barrack的复数）"
barrage,"n. 弹幕, 掩护炮火
vt. 以密集炮火进攻"
barrel,"n. 桶
vt. 装入桶内"
barricade,"n. 路障, 障碍
vt. 设路障于, 阻碍"
barrier,"n. 障碍, 栅栏
"
barrow,"n. 搬运架, 手推车, 古墓
"
embargo,"n. 封港令, 禁运
vt. 禁止出入港口, 禁运"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
barrister,"n. 出庭律师, 律师
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
flexibly,"adv. 易曲地, 柔软地"
flexibility,"n. 弹性, 适应性
"
inflexible,"a. 不屈曲的, 不屈挠的, 顽固的"
flex,"vt. 弯曲, 伸缩, 折曲
vi. 弯曲
n. 屈曲, 折曲"
flextime,n. 弹性上班制
flexitime,n. (=flextime)弹性上班制
flinch,"vi. 畏缩, 退缩, 畏首畏尾
n. 退缩, 弗林奇戏"
deflect,"vt. 转移, 使偏斜
vi. 偏斜"
inflection,"n. 屈曲, 变调, 音调变化"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
reflex,"n. 反射, 反射光, 映像
a. 反射的, 折转的
vt. 使折转, 使折回"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
respondent,"a. 回答的, 应答的, 反射的
n. 应答者, 被告"
correspond,"vi. 符合, 通信, 相当
"
correspondence,"n. 相符, 通信, 信件
"
correspondent,"n. 通讯记者, 通信者
"
response,"n. 反应, 回答, 响应
"
responsive,"a. 回答的, 应答的, 易感应的"
responsible,"a. 有责任的, 负责的, 责任重大的
"
irresponsible,a. 不负责任的；不可靠的
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
commonwealth,n. 共和国；联邦；国民整体
commune,"n. 恳谈, 社区, 公社
vi. 亲密交谈, (感情上)融为一体"
communion,"n. 共享, 交流, 恳谈, 宗教教派"
communique,n. 公报
community,"n. 社区, 公众, 共有, 共同体
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
communicable,"a. 可传达的, 会传染的, 爱说话的
"
communication,"n. 交流, 交通, 通讯
"
communicative,"a. 健谈的, 爱说话的, 交际的"
intercom,"n. 内部通信联络系统, 内部通话系统
"
telecommunications,"n. 电信, 通讯, 电信学
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immunize,"vt. 使免疫, 赋予免疫性"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
solvency,"n. 偿付能力, 溶解力
"
solution,"n. 解决, 解答, 溶液
"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
insoluble,"a. 不能溶解的, 不能解决的
"
dissolve,"v. 溶解, 解散"
dissolute,"a. 放荡的, 风流的"
dissolution,"n. 分解, 溶解, 解散, 结束
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
absolve,"vt. 宣告...无罪, 赦免, 免除
"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
superb,"a. 极度的, 华丽的, 极好的"
insuperable,"a. 不能制胜的, 不能克服的"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
superiority,"n. 优越, 高傲
"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
supremacy,"n. 至高无上, 霸权地位, 优势, 至上
"
supervise,"v. 监督, 管理, 指导"
supervision,"n. 监督, 管理
"
supervisor,"n. 管理者, 监督者, 指导者, 视导员
"
superintend,"v. 指挥, 管理, 监督"
superintendent,"n. 监督人, 主管人, 主日学校校长
"
superstition,"n. 迷信
"
superstitious,"a. 迷信的
"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
convince,"vt. 说服, 使相信
"
convincing,"a. 使人信服的, 有力的, 令人心悦诚服的"
evince,"vt. 表明(感情等), 表示出(特性等)"
invincible,"a. 不能征服的, 无敌的"
vanquish,"vt. 打败, 征服, 克服
"
victor,"n. 胜利者
a. 胜利的"
victorious,"a. 胜利的, 得胜的, 战胜的"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
