fourteenth,"num. 第十四, 十四分之一"
gentle,"a. 温和的, 文雅的"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
injure,"vt. 伤害, 损害, 使受冤屈
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
spoken,"a. 口头讲的, 口语的
speak的过去分词"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
anyone,pron. 任何人
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
his,"pron. 他的
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
disease,"n. 疾病, 弊病
"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
seventy,"num. 七十, 七十个"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
town,"n. 城镇, 市, 镇
"
stair,"n. 梯级, 楼梯, 阶梯"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
yard,"n. 码, 庭院, 工场
"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
certain,"a. 确定的, 某一个的, 必然的
"
illness,"n. 疾病, 恶意
"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
madam,"n. 女士, 夫人"
chairman,"n. 主席, 会长
"
really,"adv. 实际上, 真实地, 实在"
dozen,"n. 打, 十二个
a. 一打的"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
dad,"n. 爸爸, 爹爹"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
basketball,n. 篮球
jeans,"n. 工装裤, 牛仔裤"
gate,"n. 门, 牌楼, 大门, 通道, 闸
vt. 装门于
"
ant,n. 蚂蚁
courage,"n. 勇气, 胆量"
there,adv. 在那里
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
musician,"n. 音乐家, 乐师, 作曲家"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
pet,"n. 宠物, 受宠爱的人, 宠坏的孩子, 不悦, 生气
a. 宠爱的, 表示亲昵的, 养着观赏的, 特别珍爱的, 格外的
vt. 宠爱, 溺爱, 抚摸
vi. 拥抱, 爱抚, 生气, 发脾气"
twin,"n. 双胞胎中一人, 一对非常相像的人(或物)中的一个
a. 双胞胎的, 成对的, 孪生的
vi. 生双胞胎, 成对
vt. 怀(双胞胎), 使成对"
underwater,"a. 在水中的
adv. 在水下"
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
prediction,"n. 预言, 预报
"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
street,"n. 街道, 马路, 街区
a. 街道的"
you,"pron. 你, 你们"
penny,"n. 便士, 一分, 小钱, 点滴
"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
am,"be的单数第一人称
"
dormitory,n. 宿舍
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
whatever,pron. 无论什么
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
belt,"n. 带子, 地带
"
seem,"vi. 象是, 似乎"
recite,"v. 背诵, 朗读, 叙述"
pull,"vt. 拉, 拖, 拔, 牵, 撕开, 吸引
vi. 拉, 拖, 拔, 有吸引力
n. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引"
anxious,"a. 忧虑的, 发愁的, 渴望的"
secretary,"n. 秘书, 书记, 大臣
"
southern,"n. 南方人, 男风
a. 向南方的, 来自南方的"
afternoon,"n. 午后, 下午"
role,"n. 角色, 职责, 任务
"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
writer,"n. 作家, 撰稿者, 抄写员
"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
shiny,"a. 有光泽的, 发光的, 辉煌的, 磨光的, 磨损的"
photograph,"n. 相片, 照片, 逼真的描绘
v. 照相, 摄影"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
envelope,"n. 信封, 封套, 封袋
"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
pollution,"n. 污染, 玷污
"
battery,"n. 电池, 殴打
"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
menu,"n. 菜单, (功能)选择单
"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
rural,"a. 乡下的, 田园的, 乡村风味的
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
my,"pron. 我的
"
brain,"n. 脑
vt. 打碎脑部"
quite,"adv. 相当, 完全, 十分"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
opera,n. 歌剧
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
recipe,"n. 食谱, 处方, 秘诀
"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
anyway,"adv. 无论如何, 至少"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
ability,"n. 能力, 才干
"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
unit,"n. 单位, 分队, 部队, 单元, 部件, 装置
a. 单位的, 单元的
"
their,pron. 他们的
best,"a. 最好的
adv. 最好地
n. 最好的人"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
tomato,"n. 番茄, 西红柿"
neck,"n. 脖子, 衣领, 颈
vi. 拥抱, 拥吻, 收缩
vt. 割颈"
much,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
hat,"n. 帽子
vt. 给...戴帽子"
January,n. 一月
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
encourage,"vt. 鼓励, 支持, 激励
"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
plenty,"n. 充分, 很多, 丰富
a. 很多的, 足够的, 丰富的"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
Russia,"n. 俄国, 俄罗斯
"
unfriendly,adv. 不友善地
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
