feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
six,"num. 六, 六个"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
slowly,"adv. 慢慢地, 迟缓地"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
snowman,n. 雪人
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
soccer,n. 英式足球
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
somebody,"n. 了不起的人, 大人物
pron. 有人, 某人"
someday,adv. 有一天
someone,"pron. 有人, 某人"
something,"pron. 某事, 某物"
sometime,"a. 以前的, 某一时间的
adv. 改天, 来日"
sometimes,"adv. 有时, 时常, 往往"
somewhere,"adv. 到某处, 在某处"
son,"n. 儿子, 女婿, 子孙
"
song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
soon,"adv. 不久, 早, 快, 宁可"
sorry,"a. 难过的, 悲哀的, 遗憾的"
so-so,"勉强过得去, 一般"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
speaker,"n. 说话人, 讲演者, 发言人, 喇叭, 扬声器
"
sport,"n. 运动, 游戏, 娱乐, 消遣, 玩笑
a. 运动的, 户外穿戴的
vi. 游戏, 参加体育运动, 戏弄, 产生变种
vt. 炫耀, 使产生变种"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
street,"n. 街道, 马路, 街区
a. 街道的"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
student,"n. 学生, 研究者, 学者"
successfully,"adv. 成功, 结果良好, 有成就"
such,"a. 如此的, 这样的"
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
sun,"n. 太阳, 日, 日光, 阳光
vt. 晒
vi. 晒太阳"
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
sunglasses,"n. 太阳镜, 墨镜, 太阳眼镜"
supper,n. 晚餐
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
Sweden,n. 瑞典
Swedish,"n. 瑞典人, 瑞典语
a. 瑞典的, 瑞典人的, 瑞典语的"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
Sydney,n. 悉尼（澳大利亚港市）
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
tea,"n. 茶, 茶叶
"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
teacher,"n. 教师, 老师, 导师"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
teapot,n. 茶壶
telephone,"n. 电话, 电话机
v. 打电话"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
ten,"num. 十, 十个"
than,"conj. 比, 除...外
prep. 比"
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
thanks,"n. 感谢, 谢意, 谢忱
interj. 谢谢, 谢谢你"
thanksgiving,n. 感谢
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
the,art. 那
their,pron. 他们的
theirs,pron. 他们的
them,"pron. 他们, 她们, 它们"
themselves,"pron. 他们自己, 她们自己, 它们自己"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
there,adv. 在那里
these,pron. 这些
they,"pron. 他们, 它们"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
third,"num. 第三, 三分之一
"
thirteen,"num. 十三, 十三个"
thirty,"num. 三十, 三十个"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
those,pron. 那些
three,"num. 三, 三个"
Thursday,n. 星期四
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
tiger,"n. 老虎, 虎, 凶暴的人"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
Titanic,"a. 四价钛的
"
to,"prep. 到, 向, 趋于
adv. 向前"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
Tokyo,"n. 东京
"
tomato,"n. 番茄, 西红柿"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
tonight,"n. 今晚, 今夜
adv. 今晚, 今夜"
too,"adv. 也, 非常, 太"
tool,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
Toronto,n. 多伦多（加拿大城市）
town,"n. 城镇, 市, 镇
"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
trousers,"pl. 裤子, 长裤"
tryout,"n. 试验, 试用, 选拔赛"
T-shirt,"短袖运动衫,短袖汗衫"
Tuesday,n. 星期二
twelfth,"num. 第十二, 十二分之一"
twelve,"num. 十二, 十二个"
twentieth,"num. 第二十, 二十分之一"
twenty-first, 第二十一
twice,"adv. 两次, 两倍"
two,"num. 二, 二个"
two-story, 两层的
UK,"n. 英国；联合王国
abbr. United Kingdom 联合王国
"
uncle,"n. 叔父, 伯父, 姨丈"
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
undersea,"a. 海面下的
adv. 在海面下"
up,"a. 向上的, 起床的, 涨的
adv. 向上, 上涨
prep. 在...上面, 向...的较高处"
us,"pron. 我们
"
USA,"abbr. 美国；美利坚合众国（the United States of America）
n. (Usa)人名；(日)宇佐(名)；(所)尤萨"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
usually,"adv. 通常, 大抵"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
vet,"n. 兽医
vi. 当兽医
vt. 诊断, 检审"
volleyball,n. 排球
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
waiter,n. 侍者
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
Washington,[网络] 华盛顿
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
watchtower,n. 了望塔
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
we,pron. 我们
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
Wednesday,n. 星期三
week,"n. 星期, 周"
weekend,"n. 周末, 周末休假"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
western,"n. 西方人, 西部片, 西部小说
a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
where,"adv. 在哪里
pron. 哪里
n. 地点"
which,"pron. 哪一个, 那一个"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
who,pron. 谁
whom,pron. 谁
whose,pron. 谁的
why,"adv. 为什么
n. 原因, 理由"
wife,"n. 妻子, 太太, 夫人
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
with,"prep. 和...在一起, 以, 由于"
woman,"n. 女人, 妇女, 女仆
a. 女用的, 女性的, 妇女的
vt. 贬称...为女人, 使成女人腔"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
worker,"n. 工人, 劳动者
"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
writer,"n. 作家, 撰稿者, 抄写员
"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
year,"n. 年, 年度, 年龄
"
yellow,"n. 黄色
a. 黄色的"
yen,"n. 日元(日本货币单位), 渴望, 嗜好
vi. 渴望"
yesterday,"n. 昨天
adv. 昨天"
you,"pron. 你, 你们"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
your,"pron. 你的, 你们的"
yours,"pron. 你的(东西), 你们的(东西)"
yourself,pron. 你自己
yourselves,pron. 你们自己
yo-yo, 悠悠球，溜溜球，摇摇（拉线使圆盘旋转着沿线上下来回移动）
zero,"n. 零, 零点, 零度, 无, 乌有, 最低点
a. 零的, 没有的
vt. 调零, 对(炮火等)作协调校正
"
zoo,n. 动物园
a bit of ...,一点
a copy of ...,一份
a cup of ...,一杯…
a few,"几个, 少数, 一些"
a kind of ...,"一种,一类"
a little,"一些, 一点点, 一点儿, 稍微, 些许"
a lot of ...,许多的
a number of ...,许多的
a piece of ...,"一块..., 一片..."
above all,"尤其是, 首先"
according to,"根据, 按照；取决于；据…所说"
achieve one's dream,无
across from ...,在...对面
add ... to ...,"na. 增加
"
after a while,过了一会儿
after all,毕竟
again and again,"再三地, 反复地"
agree on,"就…取得一致意见,商定"
agree to,"同意,赞成…"
agree with sb.,"同意…,与…意见一致;适应…"
aim at,"v. 目的在于
"
all by oneself,"独立,独自,单独"
all day,整天
all day long,整天
all in all,"总而言之, 合计, 头等重要的东西"
all kinds of ...,各种各样的
all over,"全部结束, 到处, 浑身"
all over the world,全世界
all around the world,[网络] 全世界；世界各地；在世界上
all right,"好, 顺利, 良好的, 正确的"
all the same,仍然
all the time,始终
all year round,一年到头，终年；全年地，整年地
along with ...,"与…一道,与…一起,连同…"
and so on,等等
answer the phone,接电话
apologize to sb., 向某人道歉
apologize for sth.,因…而道歉
argue about,"争论…,辩论…"
argue with sb.,和…辩论
arrive at,"到达, 达到"
as a result of ...,作为结果
as for ...,至于
as if,"na. 彷佛；活像
"
as though,"好像, 仿佛"
as long as,只要...
as soon as possible,尽快
as soon as,一...就
as usual,照常
as well as,"也, 又"
as well,也
ask for,"na. 要(价)；来找
"
ask one's permission,无
at breakfast, 正在吃早饭
at lunch,"在吃午饭,在午餐时刻"
at supper,无
at first,起先
at last,终于
at least,"至少
"
at night,在晚上
at noon,adv. 在中午
at once,立刻
at present,"现在, 目前"
at school,"在学校, 在上课, 在求学"
at table,在餐桌边
at the age of ...,在…年龄的时候
at the back of ...,在…后方〔背后〕; 支持; 在内心中
at the beginning of ...,在…刚开始的时候
at the doctor's,[网络] 在诊所；在医务室；看医生
at the edge of ...,在…的边缘
at the end of ...,"在…末尾,在…结束时"
at the foot of ...,在…的脚下
at the moment,此刻
at the same time,"同时, 但是"
at the sight of ...,在看到…时
at work,"在工作, 在运转"
at the corner,[网络] 在拐角处；在角落；转角
in the corner,"un. 山穷水尽；私下里
"
at the front of ...,[网络] 在……前面；在…的前面；在…的前部
in the front of ...,在最前面; 在最重要的位置
at weekends, 在周末
on weekends,[网络] 在周末；每逢周末；每周末
be able to,"能, 会"
be about to,即将
be afraid of sth.,害怕
be afraid of doing sth.,无
be amazed at ..., 对…感到惊讶；对…感到害怕
be angry with sb.,对(某人)生气
be away from, 远离；从…离开; 距离
be bad for ...,对…有害
be based on ...,"以…为基础,以…为根据"
be born in,[网络] 出生于；出生在；诞生于
be born on,无
be busy with sth.,忙于
be busy doing sth.,忙于(做)...
be close to,"接近于..., 在...附近, 在...左近"
be covered with ...,"被...盖满, 充满着..."
be crowded with ...,"充满,满是"
be different from ...,"与…不同,和…不一样"
be experienced in ...,"v. 有经验
"
be familiar to ...,对…熟悉的
be famous as ...,作为…而闻名遐迩
be famous for ...,"因…而出名,以…着称"
be far from ...,"v. 远离
"
be fed up with,"饱受,厌烦"
be filled in ...,无
be filled with ...,充满…
be fit for,适合于
be fond of,"喜爱, 爱好"
be free from ...,免于…
be friendly to ..., 对…友好/友善
be frightened to do sth.,无
be full of,充满
be good at,擅长
be good for ...,"值得, 有效"
be ill in bed,无
be interested in,对…很感兴趣
be keen on,喜爱
be kind to,"na. 对…厚道
"
be known as ...,被认为是
be late for ...,迟到
be linked to,与...连接
be mad at,对…生气
be made from,"用…制造,由…制成"
be made of,由...所组成
be made to do sth.,无
be made up of,由...所组成
be moved by,无
be open to ...,"对...开放, 愿接受...的"
be pleased with,"对…喜欢,满意于"
be poor in,无
be proud of,"自豪, 高兴"
be rich in ...,富有...的
be sad for,无
be short for ..., 是…的简称；是…的缩写
be short of,"缺乏..., ...不足"
be similar to ...,与...相似
be sorry for,"对...感到懊悔, 对...感到遗憾, 为...感到惋惜, 对...感到怜悯"
be strict in,[网络] 对某事严格要求；对某事要求严格；严于
be strict with sb.,"对...严格, 对...严历"
be supposed to do, 应当，应该
be sure to do,"na. 必定
"
be surprised at,对…惊讶
be talented in,无
be thankful to sb.,[网络] 感激；感谢；感激的
be tired of,厌烦
be up to,"胜任,达到,由…负责"
be used as,[网络] 被用作；被用做；被当作
be used for ...,用于…
be used to do,无
be weak in ...,"在…很弱,不善于…"
be willing to do, 愿意做某事
be worn out,[网络] 筋疲力尽；被损坏；穿破
be worried about,为…着急
be worth doing,无
be used to doing,无
get used to doing,无
because of,因为
before long,不久以后
beg sb. to do sth.,"na. 去乞讨；没有买主
"
begin with,"以…开始,首先"
believe in,"信仰, 信任"
belong to,属于
between ... and,无
borrow ... from,从…借入; 借用
both ... and ..., 两个都; 既…又…
break down,"v. 分解；抛锚；分析；划分
"
break into pieces,成为碎片
break into,"破门而入, 侵占
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
break the record,打破纪录
break the rule,违反规则
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring out,"na. 公布；说出；出版；上演
"
bring up,"na. 抚养；教导；教育；在…长大
"
bring ... to ...,"na. 使恢复知觉；【航】使停船
"
build up,"树立, 增进, 增大, 堵塞
"
by accident,偶然
by chance,"偶然, 也许"
by means of,依靠
by mistake,由于差错
by oneself,"单独, 独自"
by the end of,"到…结束的时候,到…末"
by the time,"到…的时候,截至"
by the way,"在途中, 顺便"
by then,到那时
by turns,"轮流, 交替"
call at sb.,"停靠(车站), 拜访(家/办公室)"
call the police,[网络] 报警；叫警察；打电话给警察
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
calm down,"平静下来, 镇定下来"
can't help doing,[网络] 禁不住做某事；情不自禁做某事；忍不住做某事
care about,担心
care for,"喜欢, 照顾, 为...操心, 尊重"
carry on,"继续开展, 行为愚蠢(或越轨)
"
carry out,"na. 实行；开展；完成
"
catch cold,"na. 着凉
"
catch a cold,感冒
catch up with,赶上
change one's mind,"改变主意
"
chat with,与某人闲聊某事
check in,"登记, 报到
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
cheer up,"v. 鼓舞；振作一点
"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
clear up,"na. 整顿；说明；(天气)转晴
"
climb up,爬上
close down,"关闭, 歇业, 停止播音"
come across,偶遇
come along,v. 出现；一起来；陪伴；进步
come and go,来来往往
come by,"从旁边走过, 得到"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come from,"来自, 出生于"
come in,"进来, 到达, 流行起来, 当选, 到手
"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come over,"过来
"
come to an end,结束
come to know, 知道; 发觉
come to life,苏醒
come true,"实现, 成为事实"
come up with,"赶上, 提出"
communicate with,通话
compare ... to, 把…比作， 喻为; 与…相比
compare ... with ...,"比较…,跟…相比,比得上…"
complain about,抱怨
concentrate on,"集中, 全神贯注于"
connect ... with ...,"连接, 联络"
consist of,由...组成
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in line,超车
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
day after day,日复一日
day by day,逐日
deal with,"安排, 处理, 涉及, 做生意"
decide on,"决定,选定,确定…"
depend on,"依靠, 依赖"
develop a film,无
die from,"[法] 由于...而死, 死于"
die of,"死于…,因…而死"
die out,"熄灭, 平息, 消失"
differ from,不同
discuss about,讨论，议论(有关问题):
divide into,"把…划分成,分成"
do business,"na. 做买卖
"
do harm to, 损害。。。，伤害。。。; 残害
do one's best,尽全力
do sb. a favor,[网络] 帮忙；帮一个忙；做好事
do sb. good,"v. 有益
"
do some exercises,无
do some shopping, 买东西
do well in,"成绩好,…做得好"
do with,"与...相处, 忍受, 对付"
dozens of,"几十个,数十个;许多…"
dream of,"梦见,梦想,向往,渴望"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drop by,随便访问
drop in,顺便走访
drop out,"掉出, 退出, 离队
"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
due to,"由于, 应归于"
early or late,迟早
earn one's living,"谋生, 维持生活"
eat up,"吃光, 耗尽, 吞灭"
either ... or ...,adv. 不是…就是…，…或…，要么…要么…
encourage sb. to do,[网络] 鼓励…做；鼓励做某事
end up with,〈非正〉以…结束
end up,"竖着, 结束, 死"
enjoy oneself,过得快乐
enter for,"na. 参加(赛跑)
"
enter into,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享
"
even if,即使
even though,"虽然, 尽管"
ever since,从那时到现在
exchange ... with ...,v. 与…交换
face to face,面对面
fail in sth.,在…失败;缺乏…
fall behind,"落在后面, 拖欠"
fall ill,得病
fall in love with,爱上
fall into,"落入, 陷于, 开始, 分成, 属于, 注入"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
fall over, 被…绊倒; 意外地从…上跌落; 落在…之外; 迫不及待做某事
far away, 遥远; 迢迢; 远离; 迥
far away from,远离…
feed on,"以...为食, 以...为能源"
feel like doing,想要(做)...
fight about,争夺; 争吵
fight for, 为…而战斗[竞争]; 争取; 争夺
fill in,"na. 填充；填写；同“fill”
"
find out,"na. 查出；发现；看清…的面目；识破
"
first of all,首先
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
for a long time, 长久；且；久；日长岁久
for ever,"永远, 老是"
for example,例如
for free,免费地
for instance,"例如
"
for sale,"待售
"
for sure,确实
for the first time,第一次
for the purpose of ..., 为了，因…起见; 借以
force sb. to do,"v. 强人所难
"
forget doing sth.,忘记(曾做过)...
forget to do sth.,忘记(做)...
free from,"na. 无…的
"
from now on,从现在开始
from then on,从那时起
from time to time,有时
get a ride, 搭车；搭便车；顺道搭车
get along,"生活, 融洽相处"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get along with,"进展, 走开"
get on with, 继续（干某事）; 和…友好相处
get away,"离开, 逃脱, 起跑, 出发"
get back,"na. 取回；回来；送回；〈俚〉报复
"
get down to,开始认真考虑
get dressed, 穿衣服
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get in a word,"插嘴,插话"
get in the way,"挡住去路,障碍,碍事"
get into trouble,"na. 遇到麻烦；卷入纠纷；受责备；未结婚而怀孕
"
get into trouble with ...,[网络] 遇到麻烦；惹上麻烦；和…引起冲突
get lost,"迷路,迷失方向"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on well with ..., 与…相处融洽
get on,"na. 上马；安上；过日子；相投 (with together)
"
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
get out,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get rid of,"摆脱, 除去"
get to,"到达, 接触到, 开始, 对...有影响"
get together,"聚集, 收集, 积累"
get up,"na. 起床；起身；站起来；叫…起床
"
get mad at,无
be mad at,对…生气
get married with,[网络] 男方娶女方；某人
be married with,无
get ready for,(使)准备好...
get ready to do,无
be ready for,为…作好准备
be ready to do,[网络] 准备做某事；准备好做某事；为做某事做好了准备
give a concert, 举行音乐会
give a hand,"un. 制住；帮着干一点
"
give a talk, 做讲演（报告）
give advice to ...,[网络] 给……提建议；给某人提建议；建议给
give away,"na. 赠送；分发；放弃；露马脚
"
give back,"na. 归还；返回；往后站；凹陷
"
give birth to,产生
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
give reasons for ...,"陈述理由,解释"
give sb. a call,[网络] 给……打电话；给某人打电话；给我电话
give sb. a hand,"un. 制住；帮着干一点
"
give up,"na. 放弃；断绝；投降；自首
"
go abroad,出国
go ahead,前进
go along with,"陪...一起去, 赞同, 附和"
go along ...,"前进, 进行"
go back home,回家
go back,"回去, 追溯"
go by,"走过, 依照, 顺便走访"
go down,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去"
go fishing,去钓鱼
go shopping,去买东西
go for a walk,散步
go hiking, 远足
go in for,"参加, 追求, 从事, 赞成"
go on a diet,"用规定食谱, 节食"
go on to do sth.,无
go on with sth.,暂时使用
go on doing sth., 继续做
go on a picnic,去野餐
have a picnic,"吃野餐,去野餐"
go out of one's way to do,无
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
go over,"转变, 仔细检查, 润色, 复习"
go sightseeing, 游览；游玩；观光
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
go to sleep,"入睡, 睡着"
go to the movies,去看电影
go well with,在…进展顺利
go wrong,"走错路, 出毛病, 失败"
graduate from,从...毕业
green hand,"新手,生手"
grow up,"成熟, 成年, 发展, 逐渐形成"
had better do sth., 最好（做）
had better not do sth.,无
hand in hand,"手拉手, 联合"
hand in,"na. 交进
"
hand out,"na. 分；拿出来；施舍
"
hand over,交出；移交
hand up, 上交; 呈上; 把…扶上去
hang out,挂出
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
happen to do, 碰巧做某事
happen to sb.,"碰巧,偶然;发生于"
have a break, 休息一下
have a good time,过得快乐
have a look at,看一看…
have a meeting, 开会
have a rest, 休息一下; 歇
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
have no idea, 不知道，不了解; 没谱儿
have no mind to do,无
have no time to do,无
have to," 不得不, 只好; 只得; 必须; 不得已"
have trouble doing,[网络] 做某事有困难；做……有困难；做某事有麻烦
have a high fever,无
got a high fever,无
have a bath, 沐浴
take a bath,"洗个澡
"
have a class,[网络] 上课；学生上课
have a lesson, 上课
take a class,毕业考试得优等
take a lesson,[网络] 上课
hear from,"接到...的信, 受...批评"
hear of,"na. 听说；获悉；收到…的消息；知道
"
hear about,"听说,听到过"
help do sth.,[网络] 帮助做某事；帮助干某事；帮忙做
help to do sth.,[网络] 帮助做某事；帮忙做某事；有助于做某事
help oneself,自用
here and there,"各处, 到处, 四处"
hold a sports meeting,[网络] 举行运动会；开运动会；举办个运动会
hold on to,坚持
hold on,"继续, 不挂断, 停止"
hold one's breath,屏息
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
hope to do,[网络] 希望做某事；希望去做某事；希望干某事
how far,"(离...)多远, 到什么程度, 到什么范围"
how long, 多久; 多长
how many, 几何；几；多少；几多
how much,"多少, 什么价钱, 到什么程度"
how often, 多久，多常
how old, 几岁
how soon, 多快， 多久以后
