arroyo,"n. 干涸沟壑, 旱谷, 小河"
carrion,"n. 死肉, 腐肉
a. 腐肉的, 似腐肉的, 吃腐肉的"
comestible,"a. 可吃的
n. 食物"
condiment,"n. 辛辣调味品
"
confection,"n. 糖果, 蜜饯
"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
culinary,"a. 厨房的, 烹调用的"
dainty,a. 秀丽的；美味的；讲究的；挑剔的
entrée,无
fillet,"n. 头带, 带子
vt. 用带缚"
flavoring,n. 调味料
foodstuff,"n. 食品, 粮食"
hodgepodge,"n. 杂烩菜, 混杂物"
hunk,"n. 大块
a. 行的, 好的"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
ladle,"n. 勺子, 长柄勺
vt. 以勺舀取, 以勺掬, 不分对象予以赠送"
loaf,"n. 一条面包, 块, 游荡
v. 游手好闲, 虚度光阴"
mint,"n. 薄荷, 造币厂, 巨额
vt. 铸造, 铸币, 制造"
morsel,"n. 一口, 少量, 小片"
nectar,"n. 神酒, 甜美饮料, 甘露"
omelet,"n. 煎蛋卷, 煎蛋饼, 炒蛋"
pastry,"n. 油酥点心, 面粉糕饼"
porridge,"n. 粥, 糊"
potation,"n. 喝, 一口的量, 饮酒"
prune,"n. 洋李, 李子干, 深紫红色, 傻瓜
vt. 修剪, 砍掉, 删除
vi. 删除, 删节"
pulp,"n. 果肉, 纸浆
vt. 使化成纸浆, 除去...果肉
vi. 变成纸浆"
recipe,"n. 食谱, 处方, 秘诀
"
seasoning,"n. 调味品, 作料, 佐料, 锻练
"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
tipple,"vt. (习惯性地)少量饮(酒)
vi. 饮酒
n. 酒, 含酒饮料"
viands,"n. 食物, 粮食"
waffle,"vi. 胡扯, 闲聊
n. 华夫饼干, 胡扯
"
condiments,n. 调味品（condiment的复数）
ambrosia,"n. 仙果, 特别美味的食物
"
bouillon,"n. 牛肉清汤
"
raisin,n. 葡萄干
oatmeal,"n. 燕麦片, 燕麦粥
"
mutton,n. 羊肉
gruel,"n. 稀粥
vt. 使极度疲劳, 惩罚"
junket,"vi. 用公费游山玩水, 设宴
vt. 宴请
n. 凝乳食品, 用公费游山玩水, 宴请"
repast,"n. 餐, 就餐
vi. 享用, 就餐"
sherbet,"n. (英)冰冻果子露, 果汁粉, 果汁饮料, (美)果汁冰糕"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
affidavit,"n. 宣誓书, 书面陈述
"
minutes,"n. 会议记录
"
archives,"n. 档案, 档案室
"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
credential,"n. 国书, 凭据, 证明书
"
acronym,"n. 首字母缩拼词, 首字母组合词
"
blurb,"n. 推荐广告
vt. 推荐吹捧"
brochure,"n. 小册子, 小册"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
clause,"n. 子句, 条款
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
dossier,"n. 档案, 卷宗
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
doggerel,n. 打油诗
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
holograph,"n. 亲笔文件
a. 亲笔的"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
missive,"n. 公文, 书信
a. 送出的"
monograph,"n. 专题论文, 专著, 专刊
vt. 写专题论文"
pamphlet,"n. 小册子, 活页文选"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
poster,"n. 海报, 招贴, 驿马"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
reportage,"n. 新闻报道, 报告文学"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
thesis,"n. 论题, 论文"
tract,"n. 大片土地, 地带, 小册子
"
treatise,"n. 论文, 专著"
bibliography,"n. 参考书目
"
testimonial,"n. 证明书, 介绍信, 奖品, 奖金, 奖状, 感谢信, 表扬信
a. (有关)证明书的, 鉴定书的, 表扬的, 褒奖的"
palimpsest,"n. 重写本, 覆画"
rubric,"n. 红字标题, 红色印刷, 题目
"
gazette,"n. 报, 公报, 报纸
vt. 在公报上宣布, 刊载于公报"
playbill,"n. 戏单, 演出海报, 节目单"
repository,"n. 贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
galley,"n. 战舰, 军舰"
girder,"n. 大梁, 主梁
"
hangar,"n. 棚厂, 飞机库"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
larder,"n. 食物橱, 家用食品, 食物储藏室"
mansion,"n. 大厦, 宅邸"
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
pantry,"n. 餐具室, 食品室"
refinery,"n. 精炼厂
"
scaffold,"n. 脚手架, 绞刑台
"
shingle,"n. 墙面板, 小招牌"
sill,"n. 基石, 槛, 窗台, 岩床, 海底山脊, 梁"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
thatch,"n. 盖屋顶的茅草, 用草盖的屋顶, 浓密头发
vt. 用茅草覆盖"
microscope,"n. 显微镜
"
calipers,"pl. 测径规, 卡钳
"
odometer,n. 里程表
sextant,n. 六分仪
gyroscope,"n. 陀螺仪, 回转仪
"
apparatus,"n. 装置, 器具, 器官
"
automation,"n. 自动化, 自动操作
"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
maculate,"a. 有斑点的, 有污点的
vt. 使有斑点, 使有污点"
maculated, 有斑点的
mottled,"a. 杂色的, 斑驳的
"
piebald,"a. 花斑的, 杂色的, 杂种的
n. 花斑马"
speck,"n. 斑点, 有斑点的东西, 污点, 缺点, 微粒, 肥肉
vt. 使有斑点"
brindled,"a. 有斑的, 有斑纹的"
defect,"n. 缺点
"
foible,"n. 弱点, 缺点"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
flange,"n. 边缘, 轮缘, 凸缘
vt. 装凸缘"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
sidetrack,"n. 侧线, 次要地位
vt. 转入侧轨, 转变话题, 拖延处理"
criteria,"pl. 标准
"
criterion,"n. 标准, 准则, 规范
"
emblematic,"a. 象征的, 典型的"
ensign,"n. 旗, 海军少尉, 徽章"
touchstone,"n. 试金石, 检验标准"
denotation,"n. 指示, 表示, 符号"
earmark,"n. 耳上记号, 特征, 记号, 标记
vt. 在耳朵上做记号, 标记, 指定...作特定用途"
guideline,"n. 指导路线, 方针, 指标
"
embodiment,"n. 具体化, 化身"
embody,"vt. 具体表达, 使具体化
"
incarnate,"vt. 体现, 使具体化, 使实体化
a. 化身的, 实体化的, 肉色的, 深红色的"
materialize,"vt. 赋予实质, 使体现, 物质化
vi. 成有形, 体现, 实现"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
phenomena,pl. 现象
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
productivity,"n. 生产力
"
susceptibility,"n. 敏感性, 感情
"
generalization,"n. 一般化, 普遍化, 概括
"
pedigree,"n. 血统, 家谱, 名门世系
"
immaterial,"a. 非物质的, 无形的, 精神的
"
bout,"n. 一回, 回合, 较量
"
ream,"n. 令, 大量
vt. 扩(孔), 榨取, 挖"
pixel,"n. 像素
"
wisp,"n. 小把, 小物体, 纤细的东西
vt. 把...卷成小把"
swath,"n. 刈幅, 刈下的一行草, 刈下的一行麦, 行, 一条, 条, 一行"
locale,"n. 现场, 场所
"
locus,"n. 轨迹；地点, 所在地"
venue,"n. 犯罪地点, 审判地, 发生地点"
acme,"n. 顶点, 极度, 最高点
"
apex,"n. 顶, 尖端, 最高潮
"
culmination,"n. 顶点, 高潮, 最高点"
epicenter,"n. 震中, 中心"
milestone,"n. 里程碑, 里程石, 里程标"
nadir,"n. 天底, 最低点"
perigee,n. 近地点
watershed,"n. 流域, 分水岭
"
zenith,n. 顶点；最高点；顶峰
climactic,"a. 顶点的, 高潮的"
equinox,"n. 昼夜平分点, 春分, 秋分"
solstice,"n. 至, 至日, 至点, 极限, 决定性时刻"
aperture,"n. 孔, 缝隙, 孔径
"
crease,"n. 皱痕, 折痕
v. (使)起皱痕"
crevice,"n. 裂缝
"
gash,"n. 深长的伤口, 很深的裂缝
v. (使)负深伤, 划开, 砍入很深"
hiatus,"n. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句
pl. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句"
incision,"n. 切口, 切割, 雕刻, 切入
"
indent,"n. 契约, 订货单, 凹痕
vi. 切割成锯齿状
vt. 缩排, 定货, 印凹痕
"
interstice,"n. 空隙, 裂缝
"
nick,"n. 刻痕, 缺口, 划痕
vt. 刻痕于, 弄缺, 擦伤
vi. 狙击"
notch,"n. 刻痕, 等级, 峡谷
vt. 刻凹痕, 用刻痕计算, 赢得"
orifice,"n. 孔口
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
seam,"n. 缝合线, 衔接口, 接缝, 线缝, 伤疤
vt. 缝合, 接合, 焊合, 使留下伤痕
vi. 裂开, 发生裂痕"
serrated,"a. 锯齿状的
"
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
"
suture,"n. 缝合, 缝合处, 缝合线
vt. 缝合"
deduce,"vt. 推论, 演绎出
"
deductive,"a. 推论的, 演绎的
"
dialectic,"a. 辩证的, 辩证法的
n. 辩证法, 逻辑论证"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
platonic,"a. 空谈的, 不实际的, 柏拉图哲学的, 柏拉图的"
principle,"n. 原则, 原理, 主义
"
ratiocination,"n. 推理, 推论"
deducible,a. 可推论的
dialectical,"a. 辩证的, 辩证法的"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
syllogism,"n. 三段论, 推论, 演绎
"
daunt,"vt. 威吓, 难倒, 使气馁"
flaunt,"n. 炫耀, 飘扬
v. 炫耀, 飘扬"
flaunty,a. 虚华的
gaunt,"a. 瘦削的, 憔悴的, 荒凉的"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
jaunt,"n. 远足, 徒步旅游
vi. 远足, 徒步旅游"
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
vaunt,"v. 自夸
n. 自吹自擂"
corporal,"n. 下士
a. 肉体的, 身体的, 个人的"
corporeal,"a. 肉体的, 有形的, 物质的
"
entity,"n. 实体, 实存物, 存在
"
faucet,"n. 龙头, 开关, 旋塞"
fender,"n. 防卫物, 挡泥板"
filament,"n. 细丝, 细线, 灯丝, 单纤维
"
heirloom,"n. 传家宝, 动产继承物
"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
hydrant,"n. 给水栓, 水龙头, 消火栓"
matrix,"n. 母体, 子宫, 基质, 脉石, 模型, 矩阵
"
memento,"n. 纪念物, 令人回忆的东西"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
monocle,"n. 单片眼镜
"
papyrus,"n. 纸草, 草制成之纸"
somatic,"a. 身体的, 肉体的, 壁体的
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
worldly,"a. 世间的, 世俗的, 世上的"
specter,"n. 幽灵, 妖怪, 凶兆"
fiend,"n. 魔鬼, 邪神, 能手, 成癖者"
satyr,"n. 萨梯(森林之神), 好色之徒
"
spectral,"a. 光谱的, 鬼怪的, 幻觉的
"
vampire,"n. 吸血鬼
"
demoniac,"a. 着魔的, 恶魔的
n. 着魔的人"
atheistic,"a. 无神论的, 无神论者的"
elysium,"n. 极乐世界, 天堂"
anthropomorphic,"a. 被赋于人形的
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
imprint,"vt. 印, 铭刻
n. 印, 印记, 特征, 痕迹, 版本说明"
spoor,"n. 痕迹, 足迹
v. 循着足迹追踪"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
typographical,"a. 印刷上的, 活版印刷的
"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
docket,"n. 摘要, 记事表
vt. 在...上附加摘要"
compendium,"n. 纲要, 概略
"
conspectus,"n. 概观, 一览表, 大纲"
epitomize,"vt. 摘要, 概括"
generality,"n. 概论, 概说, 大要
"
gist,"n. 要点, 要旨, 依据
"
jot,"n. 少量, 稍许
vt. 略记, 摘要记载下来"
motif,"n. 主题, 基调, 动机, 基本图案
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
panorama,"n. 全景, 全貌, 概论, 范围"
pith,"n. 木髓, 骨髓, 要旨, 重要性, 力量, 核心, 意义, 精华
vt. 从(植物茎)中取髓, 刺毁(动物的)脑脊髓"
précis,无
summation,"n. 总和, 和, 合计
"
syllabus,"n. 摘要, 提纲, 课程表, 教学大纲
"
synopsis,"n. 概要, 摘要, 大意
"
synoptic,"a. 概要的, 天气的, 对观福音书的"
corrugate,"vt. 使起皱, 成波状
vi. 起皱
a. 有皱的, 起皱的, 波状的"
corrugated,"a. 皱纹的, 波状的
"
frill,"n. (衣饰上的)皱边, 皱边纸饰
vi. 起边皱
vt. 折成皱边"
pleat,"n. 褶, 褶状物
vt. 打褶, 把...编成辫"
pucker,"vt. 使起皱
vi. 折成褶
n. 皱纹"
rumple,"v. 弄皱, 弄得乱七八糟
n. 皱纹, 皱褶"
wizened,"a. 干枯的, 枯萎的, 干瘪的, 消瘦的"
extricable,"a. 可救出的, 可解救的"
nonthreatening, 没有威胁性的
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
unthreatening, 不威胁的
bedraggle,vt. 弄湿
taint,"n. 污点, 耻辱, 感染
vt. 污染, 使腐败, 沾染, 腐蚀"
puddle,"n. 小池, 水坑, 胶土
vt. 搅浊, 搅炼
vi. 在泥污中打滚, (把黏土等)捣制成胶土"
besmirch,vt. 弄污
blemish,"n. 污点, 缺点
vt. 弄脏, 玷污, 损害"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
dappled,"a. 斑纹的, 花斑的"
decrepit,a. 衰老的
defile,"vt. 弄脏, 污损, 败坏
vi. 以纵队前进
n. 隘路, 狭道"
dilapidation,"n. 荒废, 破损, 崩塌
"
dingy,"a. 暗淡的, 昏暗的, 邋遢的"
dowdy,"a. 过时的, 懒散的
n. 懒散女人, 邋遢女人"
drainage,"n. 排水
"
filth,"n. 污秽, 不洁, 猥亵
"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
fleck,"n. 斑点, 雀斑, 斑纹
vt. 使起斑点, 使有斑纹, 使有斑驳"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
frowzy,"a. 不整洁的, 有臭味的, 很闷的"
hovel,"n. 简陋小屋, 杂物间, 家畜小屋"
impeccable,"a. 无懈可击的, 勿容置疑的, 无瑕疵的, 不会做坏事的"
jagged,"a. 锯齿状的
"
landfill,n. 垃圾堆；垃圾填埋地
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
profane,"a. 世俗的, 不敬神的, 亵渎的
vt. 亵渎, 玷污"
ragged,"a. 衣衫褴褛的, 参差不齐的, 不协调的, 粗糙的, 刺耳的"
seamy,"a. 露出线缝的, 丑恶的"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
sleazy,"a. 质地薄的, 没有内容的, 低级庸俗的"
sloppy,"a. 泥泞的, 潮湿的, 粗心的"
smear,"vt. 涂, 擦上, 玷污, 把...擦模糊
vi. 被弄脏
n. 污点, 污迹, 污蔑"
smirch,"vt. 沾污, 弄脏
n. 脏污, 污点"
smudge,"n. 污点, 脏污, 熏烟
vt. 弄脏, 使模糊, 用浓烟熏
vi. 被弄脏"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
sordid,"a. 肮脏的, 贪婪的, 卑鄙的, 恶劣的, 暗淡的
"
squalid,"a. 污秽的, 肮脏的, 悲惨的, 可怜的, 卑劣的"
squalor,"n. 肮脏, 贫穷, 不干净"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
stigma,"n. 耻辱, 污名, 烙印
"
stigmatize,"vt. 打烙印, 诬蔑"
astray,"adv. 迷途地, 入歧途地
"
sully,"vt. 玷污, 弄脏
n. 污点, 脏污"
tattered,"a. 破烂的, 褴褛的"
tatty,"a. 穿破的, 粗糙的, 不值钱的"
threadbare,"a. 衣服磨薄了的, 穿旧了的, 衣着褴褛的, 俗套的, 乏味的"
unkempt,"a. 蓬乱的, 未被照管好的"
unspotted,"a. 无斑点的, 无污点的, 无瑕疵的"
variegation,"n. 斑驳, 彩色, 杂色, 多种多样"
ragamuffin,"n. 衣衫褴褛的人, 寒酸样子的孩子"
seedy,"a. 多种子的, 结籽的, 破烂的, 肮脏的"
run-down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
dent,"n. 凹痕
vt. 使凹下, 削弱
vi. 塌陷"
fluted,"a. 笛声的, 有凹槽的"
projection,"n. 发射, 计划, 突出部分, 设计, 推测
"
alcove,"n. 凹室, 壁龛, 小亭"
concave,"a. 凹的
"
convex,"a. 中凸的, 凸圆的, 凸面的
n. 凸状, 凸面体, 凸面结构"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
protuberance,"n. 突起, 隆起物
"
protuberant,"a. 突起的, 招人注意的"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
promontory,"n. 岬, 海角
"
bungling,"a. 笨拙的, 粗劣的"
cumbersome,"a. 笨重的, 麻烦的, 累赘的"
elephantine,"a. 象的, 巨大的, 粗笨的"
hulk,"n. 船体, 笨重的船, 废然大物"
ponderous,"a. 沉重的, 笨重的, 毫无趣味的, 生硬的"
unwieldy,"a. 难处理的, 笨大难使用的, 笨拙的"
unemphatic,"a. 不强调的, 非着重的"
bauble,"n. 美观而无价值的东西, 玩具, 小玩意"
chore,"n. 零工, 家务
"
circumstantial,a. 依照情况的
dispensable,"a. 不是必要的, 可有可无的"
fractional,"a. 部分的, 碎片的, 微少的, 断片的, 分数的, 分馏的
"
fustian,"n. 棉麻粗布, 浮夸的话
a. 棉麻粗布的, 浮夸的"
futile,"a. 无用的, 琐细的, 不重要的"
gnat,"n. 小昆虫, 蚊子, 小烦扰
"
inane,"a. 空虚的, 愚蠢的, 空洞的
n. 空洞乏物"
inappreciable,a. 微不足道的
inconsequential,"a. 不合逻辑的, 不合理的, 不重要的"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
microscopic,"a. 显微镜的, 用显微镜可见的, 微观的, (非正式)极微小的, 细微的
"
minuscule,"n. 小书写体, 小写字
a. 用小书写体的, 小写字的"
minutia,"n. 细节, 琐事"
niggling,"a. 细小的, 琐屑的, 小心翼翼的, 缺乏魄力的, 过于精细的"
nonsensical,"a. 无意义的, 荒谬的"
nuance,n. 细微差别
nugatory,"a. 无价值的, 无用的, 无效的, 琐碎的"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
paltry,"a. 不足取的, 琐碎的, 可鄙的"
peripheral,"a. 周边的, 周围的, 圆周的, 无关紧要的, 肤浅的
"
periphery,"n. 外围, 边缘地区, 圆周
"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
piddling,"a. 不重要的, 琐屑的"
piecemeal,"adv. 一件一件地, 逐个地, 零碎地
a. 一片一片的, 逐渐的, 零碎的
n. 断片"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
trivia,n. 琐事
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
venial,"a. 可原谅的, 可宽恕的, 轻微的
"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
abysmal,"a. 深不可测的, 无底的"
categorical,"a. 范畴的, 绝对的, 明确的"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
dissolute,"a. 放荡的, 风流的"
drastic,"a. 激烈的
"
egregious,"a. 异乎寻常的, 过分的, 惊人的"
entirety,"n. 全部, 整体
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
exorbitant,"a. 过度的, 过高的, 过分的"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
inordinate,"a. 过度的, 紊乱的, 过分的"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
maturity,"n. 成熟, 完备, 到期
"
officious,"a. 多管闲事的, 非官方的
"
omnipresent,"a. 无所不在的, 普通存在的"
overexposure,"n. 曝光过度
"
overreach,"vt. 扩展...以上, 过度伸张, 走过头
vi. 伸得过远, 过分, 过火"
overwrought,"a. 过分劳累的, 过度紧张的, 神经质的, 过度兴奋的, 过分推敲的, 不自然的"
pamper,"vt. 放纵, 使吃饱, 使过量"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
permissive,"a. 许可的, 获准的, 宽容的, 放任的, 放纵的, 允许选择的, 自由的
"
plenary,"a. 充分的, 完全的, 全体出席的
"
plenitude,"n. 充分, 完全, 丰富, 大量, 充足"
plentitude,n. 充分
