divulge,"vt. 泄露, 透露"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
avatar,"n. 天神下凡化作人形, 化身"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
latitude,"n. 纬度, 范围
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
nexus,"n. 连结, 关系
"
kindle,"vt. 点燃, 使着火, 引起, 照亮
vi. 着火, 激动, 发亮"
waffle,"vi. 胡扯, 闲聊
n. 华夫饼干, 胡扯
"
off-key,"adj. 走音的；不正常的
"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
clinical,"a. 临床的, 门诊部的
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
might,"n. 力量, 权力
aux. 可能, 也许"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
august,"n. 八月
a. 威严的, 令人敬畏的"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
demonstrative,"a. 说明的, 指示的"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
emergent,"a. 紧急的, 浮现的, 出现的, 自然发生的
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
appropriate,"a. 适当的
"
circumstantial,a. 依照情况的
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
pacific,"n. 太平洋
a. 太平洋的, 太平洋沿岸的, 爱好和平的, 安静的, 平息的"
involved,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的
"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
portentous,"a. 前兆的, 不吉的, 可惊的, 自大的"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
insulate,"vt. 使绝缘, 隔离
"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
jade,"n. 玉, 翡翠, 老马
a. 绿色的, 玉制的
v. (使)疲倦"
trammel,"n. 鱼网, 拘束, 束缚
vt. 拘束, 束缚"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
usher,"n. 引座员, 招待员
vt. 引导, 招待
vi. 作招待员"
cow,"n. 母牛, 母兽
vt. 威胁"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
asset,"n. 资产, 有益的东西"
dense,"a. 密集的, 浓厚的"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
perennial,"a. 常年的, 长期的, 反复的
"
confound,"vt. 使混淆, 使狼狈, 挫败"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
apology,"n. 道歉, 辩护
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
fell,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
reliable,"a. 可靠的, 可信赖的
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
harry,"vt. 掠夺, 使苦恼, 强使前行, 折磨, 骚扰"
experimental,"a. 实验的, 根据实验的
"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
autumn,"n. 秋天, 成熟期"
measured,"a. 整齐的, 慎重的, 基于标准的"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
color,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
economy,"n. 经济, 理财, 节约
"
listless,"a. 倦怠的, 无精打采的
"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
complaint,"n. 诉苦, 抱怨, 控诉
"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
husbandry,"n. 农事, 饲养业, 家政"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
abstraction,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
recipe,"n. 食谱, 处方, 秘诀
"
cupidity,"n. 贪心, 贪婪"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
immediate,"a. 立即的, 直接的, 接近的
"
guesswork,"n. 臆测, 猜测, 凭猜测所作之工作"
untiring,"a. 不疲倦的, 不懈的, 不屈不挠的"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
corrosive,"a. 腐蚀的, 腐蚀性的, 有害的
n. 腐蚀物, 腐蚀剂"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
sequel,"n. 继续, 续集, 后果
"
factotum,"n. 家务总管, 杂役, 爱管闲事者
"
disputant,"n. 争论者
a. 争论的"
novice,"n. 新手, 初学者"
tyro,"n. 初学者, 生手, 新手"
neophyte,"n. 新入教者, 新信徒"
maverick,"n. 未烙饲主印记的小牛, 持不同意见的人
vi. 迷路"
martinet,n. 严格执行纪律的人
sophist,"n. 诡辩者, 诡辨家, 学者"
quibbler,"n. 诡辩者
"
pedant,"n. 自夸学问的人, 空谈家, 书呆子"
naysayer,"n. 拒绝者, 否认者, 老是唱反调的人
"
acolyte,"n. 侍僧, 助手"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
canary,"n. 金丝雀, 淡黄色"
braggart,"n. 吹牛者, 自夸者
a. 吹牛的, 自夸的"
dictator,"n. 命令者, 独裁者"
tyrant,"n. 暴君
"
denizen,"n. 居民, 外籍居民, 外来语
vt. 给...居住权, 移植"
bishop,"n. 主教, (国际象棋中的)象, 热果子酒"
clergy,"n. 牧师, 僧侣, 神职人员"
prophet,"n. 预言者, 先知, 提倡者"
virtuoso,n. 艺术品鉴赏家
progeny,"n. 子孙, 后裔, 成果
"
hardliner,n. 强硬路线者
dilettante,"n. 业余爱好者
a. 外行的, 浅薄的"
spearhead,"n. 矛尖, 先锋队, 先头部队
vt. 做先锋, 带头"
vanguard,"n. 前锋, 先锋, 先驱"
philistine,"n. 庸人, 门外汉, 仇敌, 俗气的人
a. 俗气的, 无教养的"
polymath,n. 博学者
prodigy,"n. 惊人的事物, 奇迹, 不凡的人, 奇才, 神童, 预兆"
interlocutor,"n. 对话者, 谈话者"
spendthrift,"n. 浪费的人
a. 浪费的, 挥霍无度的"
monger,"n. 商人, ...商, ...贩
vt. 贩卖, 传播"
culprit,"n. 犯人, 罪犯, 刑事被告
"
curator,"n. 管理者, 经理, 主管人, 掌管者, 馆长, 大学学监, 监护人, 保护人
"
orator,"n. 演说者, 演讲者, 雄辩家, 原告, 请愿人
"
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
cynic,"n. 犬儒学派的人, 玩世不恭的人, 愤世嫉俗者, 好挖苦人的人
a. 犬儒学派的"
quixote,n. 堂吉诃德
expansionist,"a. (关于)扩张主义的, 赞同扩张主义的
n. 扩张主义者, 领土扩张论者"
electorate,"n. 选民, 有选举权者, 选区
"
preservationist,n. (对野生动物、自然区、古迹和传统事物等的)保护主义者
zealot,"n. 热心者, 狂热者, 犹太教狂热信徒
"
extremist,[经] 偏激份子
revisionist,"n. 修正主义者
a. 修正主义的"
mogul,"n. 大人物, 有权势的人"
guru,"n. 古鲁(印度教导师)
"
tycoon,"n. 企业界大亨, 将军
"
bellwether,"n. 系铃带头羊, 前导, 领导者"
stickler,"n. 坚持要求某种品质的人, 坚持要求一丝不苟者, 难题, 费解的事物"
diehard,"n. 顽固分子
"
nonentity,"n. 不存在, 非实在, 虚无"
imposter,"n. 冒名顶替者, 骗子
"
mastermind,"n. 优秀策划者, 才子
vt. 指导, 主持, 策划"
iconoclast,"n. 反对偶象崇拜者, 提倡打破旧习的人"
soothsayer,"n. 预言者, 占卜者, 预测未来者, 螳螂"
connoisseur,"n. 鉴赏家, 鉴定家, 内行"
boor,"n. 粗野的人, 不懂礼貌的人, 农民"
playwright,n. 剧作家
despot,"n. 专制君主, 暴君
"
apologist,"n. 辩护者, 教义辩护文作者
"
wastrel,"n. 浪费者, 饭桶, 浪子, 废品, 流浪者"
autocrat,n. 独裁者
oddball,"a. 古怪的, 奇怪的
n. 古怪的人"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
layperson,n. 外行
has-been, 已经
progenitor,"n. 祖先, 先辈, 原本
"
benefactor,"n. 恩人, 捐助者, 施主
"
gourmand,n. 美食家
cronyism,n. 任人唯亲
nepotism,"n. 偏袒亲属, 起用亲戚"
totalitarianism,"n. 极权主义
"
utilitarianism,"n. 功利主义
"
cynicism,n. 犬儒主义
chauvinism,"n. 盲目的爱国主义, 沙文主义
"
egalitarianism,"n. 平等主义, 平均主义"
altruism,"n. 利他主义, 利他"
anarchism,"n. 无政府主义
"
anthropocentrism,"n. 人类中心说, 人类本位说"
atheism,n. 无神论
collectivism,"n. 集体主义(制度)
"
dualism,"n. 双重性, 二元论
"
feminism,"n. 女权主义, 男女平等主义
"
hedonism,"n. 快乐论, 享乐主义
"
individualism,"n. 个人主义, 个人特征
"
nihilism,"n. 虚无主义, 无政府主义
"
teetotalism,n. 绝对戒酒主义
renegade,"n. 背教者, 变节者, 脱党者
a. 背弃的, 脱离的, 叛徒的
vi. 背叛, 背弃, 脱离"
misanthrope,"n. 厌恶人类的人, 不愿与人来往者"
leveling,n. 水准测量
straddle,"n. 跨坐, 观望
v. 跨坐, 两腿叉开坐, 观望"
baleful,"a. 有害的, 恶意的"
shelve,"vt. 放置架子上, 搁置
vi. 渐渐倾斜"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
abyss,"n. 深渊, 深邃, 地狱"
stunning,"a. 打昏迷的, 弄得人昏头昏脑的, 令人震惊的"
bulwark,"n. 保障, 壁垒, 防波堤"
showcase,"n. 陈列橱
"
staunch,"vt. 止住, 止血
a. 坚固的, 坚强的, 忠实的, 忠诚的, 不透水的"
untrammeled,"a. 不受限制的, 自由自在的, 不受妨碍的"
screed,"n. 冗长的文章, (瓦工用的)抹灰靠尺
"
stupefaction,"n. 麻醉, 昏睡, 昏迷"
vitriolic,"a. 硫酸的, 像硫酸的, 语言刻薄的"
bombastic,"a. 夸大的, 夸夸其谈的"
waggish,"a. 爱开玩笑的, 诙谐的"
retract,"v. 缩回, 收回, 取消, 撤消"
etch,"vt. 蚀刻, 蚀镂
vi. 施行蚀刻法
n. 腐蚀剂
"
exultant,"a. 非常高兴的, 欢欣的"
axiomatic,a. 自明的
fusion,"n. 熔合物, 结合, 熔合
"
exegesis,"n. 注释, 解释"
cerebral,"a. 脑的, 大脑的
"
ideologue,"n. 理论家, 思想家,空想家"
slavish,"a. 奴隶的, 奴性的, 盲从的"
hands-off,请勿动手
no-nonsense,"adj. 严肃的
"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
staid,"a. 认真的, 沉着的, 固定的"
spurn,"n. 踢开, 拒斥
vt. 踢开, 冷落, 践踏, 唾弃
vi. 藐视, 摒弃"
thenceforth,"adv. 从那时, 此后"
simpleton,"n. 笨蛋, 傻子"
duel,"n. 决斗, 斗争
vi. 决斗"
giddy,"a. 眼花的, 头晕的
v. (使)眼花, (使)眩晕"
cannibalism,"n. 嗜食同类, 食人, 嗜血成性"
galactic,"a. 乳汁的, 银河的, 极大的
"
platitudinous,"a. 平凡的, 陈腐的, 老生常谈的"
lockstep,"n. 紧密行进步伐, 因循守旧"
offhand,"a. 即时的, 即席的, 无准备的, 随便的, 简慢的, 不友好的
adv. 即时地, 即席地, 随便地"
veneer,"n. 饰面薄板, 饰面, 外表
vt. 镶饰, 胶合, 虚饰"
wooden,"a. 木制的, 呆笨的, 木然的"
subsume,"vt. 把...归入, 把...纳入, 把...列入某一类, 把...归类"
plaudits,n. 鼓掌( plaudit的复数形式 ); 喝彩; 称赞; 赞扬
tack,"n. 平头钉, 大头钉, 粗缝针脚, 行动方针, 食物
vt. 以大头针钉住, 附加"
helter-skelter,"n. 慌张；乱七八糟的表演
adj. 手忙脚乱的
adv. 手忙脚乱地
"
acquittal,"n. 履行, 无罪开释
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
rummage,"v. 仔细翻寻, 仔细搜查, 检查出
n. 仔细翻找, 查出的物件"
disapprobation,"n. 不以为然, 非难"
regressive,"a. 后退的, 退化的, 回归的
"
yore,"n. 从前, 往昔"
laggard,"n. 迟钝者, 落后者
a. 迟钝的, 落后的"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
unremitting,"a. 不懈的, 不断的, 坚忍的, 持续的
"
accretive,[医] 增积的; 粘连的
plangent,"a. 轰鸣的, 凄切的, 哀鸣的"
iridescent,"a. 彩虹色的, 闪光的
"
legible,"a. 清晰的, 易读的"
asperity,"n. 粗暴, 严酷, 粗糙"
tangential,"a. 切线的, 相切的, 正切的, 离题的, 扯远的
"
inching,n. 微调尺寸；寸动；点动；缓动
recuse,要求撤换
mock-up,"na. 制作大模型
"
overweening,"a. 骄傲的, 自负的, 过于自信的, 过分的"
holistic,
sideshow,"n. 杂耍, 附属活动, 枝节问题"
natter,"vi. 抱怨, 唠叨, 瞎扯"
confide,"vt. 吐露, 委托
vi. 信赖"
fiddle,"n. 小提琴, 提琴类乐器
vt. 虚度时光, 拉小提琴
vi. 拉小提琴, (无目的地)拨弄, 瞎搞"
malice,"n. 恶意, 蓄意害人, 怨恨
"
bottleneck,"n. 瓶颈
"
dismissal,"n. 免职, 解雇
"
at a premium,"在票面价值以上, 非常珍贵
"
be at odds with,"与...有争执, 与...不一致"
without fail,"务必
"
nothing short of,"简直不比...差, 简直可以说..."
keep something at bay,[网络] 保持一些东西
on a par with,"与…相等,与…一样"
substitute A for B,"用(甲)来代(乙), 以(甲)代替(乙)"
accuse somebody of something,无
charge somebody with something,无
charge somebody with doing something,无
dubious distinction,[网络] 什么意思；我只是要
on top of that, 再加
for all,尽管
but for,要不是
exact a toll,无
exact a high price,无
exact a heavy price,无
collate ... into ...,无
"some ..., others ..., and still others ...",无
rest on,"被搁在, 停留在, 信赖"
and the like,"等等
"
anything but,"单单除...之外, 决不"
all but,"几乎, 差一点"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
not the least,丝毫没有
dispense with,"免除, 省却, 无需"
turn one's back on,"背弃, 抛弃"
take issue with, 提出异议
conjure up,"na. 念咒召来；使现出
"
only too ... to ...,无
a far cry from,离…很远的路程;与…大不相同
by virtue of,"依靠, 由于
"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
bring about,"na. 造成；带来；【航】(使船)回转
"
in response to,"回答..., 响应..., 对...有反应
"
by and large,"大体上, 基本上"
at large,"未被捕, 详尽, 普遍
"
in sharp contrast to,无
in stark contrast to,无
run-of-the-mill,adj. 普通的，一般的，不突出的
state-of-the-art,"adj. 应用最先进技术（或方法）的；最先进的
n. 目前最高水平
"
step down,"na. 走下；退出；【电】下降；辞退
"
a minor rash of,无
pertain to,"属于, 关于, 附属, 适合, 相称"
be central to,"是…的核心,对…是重要的"
be peripheral to,无
be accountable for,"对…负责,说明…"
stem from,"起源于,出自,出身于…"
spring from,"从…中涌出,出自,来自,由…引起"
as somebody puts it,无
prop up,"na. (把…)撑住；给…撑腰
"
be attributed to, 归于
be attributable to,可归因于
caution against doing,无
stop short of doing,[网络] 差一点就；未做某事
bask in,"沐浴于,沉湎于…"
gloat over,幸灾乐祸地冷眼旁观；沾沾自喜地看；贪婪得意地想着
despair of,对…感到绝望
be subject to,"受支配, 从属于, 可以...的, 常遭受..."
become inured to,无
in the sense that,从某种意义上说
be numbered among,无
be distinguished from,"与…区分开来,和…有区别"
with regard to,关于
strip away,"un. 一块；剥去
"
prey on,"捕食, 掠夺"
ferret out,"na. 探索出；肃清
"
explain away,"na. 巧辩过去
"
measure somebody against somebody,无
measure something against something,无
by far,显然
in line with,符合
be greeted with,"受到…欢迎,迎面碰到…"
let nature take its course,〈口〉任其自然发展(尤指爱情发展)
recourse to,"求助于,诉诸于…"
to one's dismay,无
make headway in doing,无
in turn,"na. 挨次
"
be susceptible to,"易患..., 对...敏感"
now that,"既然..., 由于..."
insofar as,"至于, 就..."
the depths of,······的深度
bear out,"na. 证明
"
give rise to,"引起, 使发生"
in one's heyday,无
subsist on,靠...生存
be obsessed with,被…困扰
excise A from B,无
on the verge of something,[网络] 在某事的边缘
prone to, 倾于…
at one's best,处在最佳状态
in defense of,"[法] 为...辩护, 为保证..."
be up to,"胜任,达到,由…负责"
miss out on something,无
beyond the means of somebody,无
make somebody out to be something,无
make something out to be something,无
make good on one's promise,无
frown on, 以蹙额或蹙眉而露出不悦之色; 不赞成; 不同意; 不许可
shirk one's responsibility, [法]逃避责任; 一退六二五
well-to-do,"na. 经济宽裕
"
stoop to something,委曲以求，曲意迎合；降低身份(或堕落到)做某事
of great moment,"重要的,关系重大的"
ad hoc,"特别地
"
bona fides,"[法] 善意, 真诚"
as far as ... is concerned,就 ... 而言
virtues and vices,善与恶
teem with,充满
day in and day out,天天
regardless of,"不注意, 不关心"
be obligated to,[网络] 有义务；有责任去
have a distaste for something,无
come of,"出身于, 由...引起"
a favorite with somebody,无
that said, （引导让步说法）即便如此
that being said,[网络] 话虽如此；但是话虽这样说；你既然这样觉得
sail through,轻快地走过
shrug off,na. (耸肩)表示轻蔑
in step,步调一致
out of step,"步调不一致
"
to one's credit,"入某人帐户的贷方, 为某人带来荣誉"
rank-and-file,"n. 普通成员, 士兵"
amount to,"[经] 等于, 相当于"
stand one's ground,[法] 坚持立场
make light of,轻视
keep abreast of,保持与...并列
serve as,"被用作..., 充当..., 起...的作用"
at stake,"危如累卵, 在危险中"
shore up,"v. 用支柱撑住
"
give credence to,"相信,信任,使可信"
nothing less than,"和...一模一样, 完全是..."
stave off,"避开, 挡开, 延迟"
die hard,"(旧习惯等)难改掉, 顽固"
have yet to,[网络] 尚有待于；尚未；至今尚未
all the more,更加
to be sure,"诚然, 固然, 哎呀"
to be fair, 公平地说
make sense of something,无
keep something at hand,无
derive from,"得自, 由来, 衍生"
resign to something,无
put something to rest,无
make demands on,"提出要求, 有求于"
short notice,临时通知
devoid of, [医]aaj.缺乏的。没有的
put something at stake,无
border on,接壤
at the root of,实质上，根本上
in light of,"按照, 根据"
snap up,"na. 咬住；突然插嘴
"
rule out,"na. 排除
"
a priori,"由因及果的, 演绎的, 先验的
"
bona fide,"真诚地(的), 真实地(的)
"
per capita,"每人, 按人口, 按人口计算
"
status quo,n. 现状
vice versa,"反之亦然
"
ad-lib,没有限制地
drop out of,"退出,辍学,脱离"
lose out to,[网络] 输给；微软输给了；吃亏
bear the stamp of something,无
fall short of,"没有达到标准, 不够, 不足"
pave the way for,为...铺平道路
