the,art. 那
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
evening,"n. 傍晚, 晚间, 末期"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
conference,"n. 会议
"
unit,"n. 单位, 分队, 部队, 单元, 部件, 装置
a. 单位的, 单元的
"
best,"a. 最好的
adv. 最好地
n. 最好的人"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
writer,"n. 作家, 撰稿者, 抄写员
"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
necessary,a. 必要的；必然的；必需的
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
institution,"n. 机构, 惯例, 制度
"
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
sea,"n. 海, 海洋, 海浪, 大量
"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
beautiful,a. 美丽的
property,"n. 财产, 所有权, 性质, 属性
"
instead,"adv. 作为替代, 反而"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
method,"n. 方法, 办法, 条理, 秩序
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
somebody,"n. 了不起的人, 大人物
pron. 有人, 某人"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
hotel,"n. 旅馆, 客栈"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
sexual,"a. 性的, 性别的
"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
exist,"vi. 存在, 生存, 发生"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
whom,pron. 谁
skin,"n. 皮肤, 皮
vt. 剥皮, 在...植皮
vi. 长皮, 愈合, 蜕皮"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
owner,"n. 拥有者, 物主, 所有人
"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
gas,"n. 气体, 汽油, 瓦斯
"
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
generation,"n. 一代, 一世, 产生
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
cancer,"n. 癌, 恶性肿瘤
"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
item,"n. 项目, 条款, 一则, 项
"
reality,"n. 实在, 事实, 实体, 逼真
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
Mrs,n. 先生
yard,"n. 码, 庭院, 工场
"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
investment,"n. 投资
"
discussion,n. 讨论
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
positive,"a. 肯定的, 积极的, 有把握的
"
civil,"a. 市民的, 公民的, 有礼貌的
"
kitchen,"n. 厨房, 全套炊具
"
consumer,"n. 消费者
"
shot,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射
vt. 装弹, 使成颗粒状
a. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的
shoot的过去式和过去分词"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
painting,"n. 画, 绘画, 油漆
"
scientist,"n. 科学家
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
agreement,"n. 同意, 合约, 协议
"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
nor,"conj. 也不, 也没有
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
newspaper,n. 报纸
instead,"adv. 作为替代, 反而"
threat,"n. 恐吓, 恶兆, 威胁
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
attorney,"n. 代理人, 律师
"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
interesting,a. 有趣的
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
audience,"n. 听众, 观众, 读者
"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
dinner,"n. 晚餐, 正餐, 宴会"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
western,"n. 西方人, 西部片, 西部小说
a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
prevent,"v. 预防, 防止, 阻止, 妨碍"
citizen,"n. 市民, 公民
"
majority,"n. 多数, 大半
"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
born,"a. 天生的
bear的过去分词"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
professional,"n. 专业人才
a. 专业的, 职业的"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
customer,"n. 消费者
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
option,"n. 选择权, 挑选, 选项
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
southern,"n. 南方人, 男风
a. 向南方的, 来自南方的"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
eventually,"adv. 最后, 终于"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
forest,"n. 森林, 林区
vt. 植树于"
video,"n. 影像, 电视
a. 图像的, 电视的"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
Senate,"n. 参议院, 立法机构, 评议会"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
restaurant,"n. 餐馆, 饭店"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
opinion,"n. 意见, 评价, 主张
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
concerned,"a. 关心的, 有关的, 参与的, 担心的"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
version,"n. 一种描述, 版本, 译文
"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
neighborhood,"n. 附近, 邻近"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
income,"n. 收入, 收益, 流入
"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
species,"n. 种, 类, 外形
"
immediately,"adv. 直接地, 立刻, 立即"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
freedom,"n. 自由, 坦率, 特权
"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
nobody,"n. 小人物, 无名小卒
pron. 无人, 没有人"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
attitude,"n. 态度, 看法, 姿势
"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
concept,"n. 观念, 概念
"
client,"n. 客户, 顾客, 委托人
"
powerful,"a. 有力的, 有权力的, 强大的
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
nine,"num. 九, 九个"
therefore,"adv. 因此, 所以"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
conversation,"n. 会话, 说话, 交谈
"
examine,"v. 检查, 调查, 考试"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
completely,"adv. 完全地, 十分地, 圆满地"
variety,"n. 多样, 种类, 变种, 杂耍
"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
involved,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的
"
investigation,"n. 调查, 审查
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
researcher,n. 研究人员
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
replace,"vt. 代替, 替换, 放回, 归还
"
British,"a. 英国的
n. 英国人, 英国英语"
encourage,"vt. 鼓励, 支持, 激励
"
argument,"n. 争论, 论证, 论据, 自变量
"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
brain,"n. 脑
vt. 打碎脑部"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
afternoon,"n. 午后, 下午"
AM,"abbr. 调幅；振幅调制；议员（威尔士议会成员）
"
weekend,"n. 周末, 周末休假"
dozen,"n. 打, 十二个
a. 一打的"
possibility,"n. 可能性, 可能的事
"
along,"adv. 平行地, 向前
prep. 沿着"
insurance,"n. 保险, 保险业, 保险费
"
department,"n. 部门, 系, 机关
"
battle,"n. 战役
v. 战斗"
beginning,n. 开始
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
generally,"adv. 通常, 逐渐地, 普遍地"
African,"n. 非洲人
a. 非洲的, 非洲人的"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
sorry,"a. 难过的, 悲哀的, 遗憾的"
crisis,"n. 危机, 危险期, 紧要关头
"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
define,"vt. 定义, 规定, 使明确
"
easily,"adv. 容易地, 轻易地, 流利地"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
element,"n. 元件, 元素, 要素
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
status,"n. 状态, 情形, 地位, 要人身份
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
solution,"n. 解决, 解答, 溶液
"
stone,"n. 石头, 宝石, 果核, 纪念碑, 结石
vt. 投扔石子, 铺石头
a. 石的, 石制的, 完全的"
slowly,"adv. 慢慢地, 迟缓地"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
university,n. 大学
introduce,"vt. 介绍, 引入, 采用, 输入
"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
