criticize,"v. 批评, 吹毛求疵, 非难"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
casualty,"n. 意外事故, 伤亡, 受害者
"
call on,"号召, 呼吁, 约请, 访问"
cease,"n. 停止
v. 停止, 终了"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
argument,"n. 争论, 论证, 论据, 自变量
"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
impasse,"n. 难局, 僵局, 死路, 死胡同"
traditional,"a. 传统的, 惯例的
"
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
colorful,"a. 华美的, 富有色彩的, 有趣的"
affair,"n. 事件, 事务, 恋爱事件"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
combative,"a. 好斗的, 好事的"
setter,"n. 从事安装的人, 调节器, (警察)眼线"
crisis,"n. 危机, 危险期, 紧要关头
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
meadow,"n. 草地, 牧场"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
amateur,"n. 业余爱好者, 外行, 爱好者
"
criticism,"n. 批评, 评论, 非难
"
headlong,"a. 头向前的, 仓猝而用力的, 轻率的
adv. 头向前地, 猛然地, 用力地"
threat,"n. 恐吓, 恶兆, 威胁
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
disappear,"vi. 消失, 不见"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
confusing,a. 令人困惑的；混淆的；混乱的
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
surprising,a. 令人惊讶的
considerable,"a. 相当的, 可观的, 重要的"
assurance,"n. 保证, 把握, 信心, 保险
"
equally,"adv. 相等地, 同样地, 平等地"
performative,a. 
genre,"n. 类型, 流派"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
dentist,"n. 牙科医生
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
discuss,"vt. 讨论, 论述
"
downside,n. 底侧；下降趋势
career,"n. 事业, 生涯, 成功
"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
hardline,"n. 强硬路线
"
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
off-the-cuff,"即兴地, 非正式地"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
unforced,"a. 非强迫的, 自然的, 不勉强的
"
census,"n. 户口普查
vt. 实施统计调查"
dramatize,"vt. 改编成戏剧, 编写剧本
vi. 戏剧化"
spacious,"a. 广大的, 宽广的"
Far West,[网络] 远西；遥远的西部；遥远西部
conservation,"n. 保护, 保存
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
consumption,"n. 消费, 消费量, 痨病
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
consideration,"n. 考虑, 原因
"
commodity,"n. 农产品, 商品, 有用的物品
"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
broadly,"adv. 宽广地, 明白地, 无礼貌地"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
consist of,由...组成
assimilation,"n. 同化, 同化作用, 吸收
"
engagement,"n. 诺言, 约会, 婚约, 交战
"
inference,"n. 推论
"
exceptional,"a. 例外的, 异常的, 特别的"
formulation,"n. 系统陈述, 公式化, 配制
"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
upstart,"n. 新贵, 暴发户, 自命不凡者
a. 暴富的"
prestige,"n. 声望, 威望, 威信
"
presumptuous,"a. 放肆的, 冒昧的, 傲慢的"
scientist,"n. 科学家
"
businessman,"n. 商人, 实业家, 工商业家"
accountant,"n. 会计人员, 会计师
"
downshift,v. (汽车等)调低速档
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
consumerism,n. 保护消费者利益运动
paralyze,"vt. 使瘫痪, 使麻痹
"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
injury,"n. 伤害, 侮辱
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
compete,"vi. 竞争, 对抗"
hotly,"adv. 暑热地, 激烈地, 热心地"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
reluctant,"a. 不情愿的, 勉强的
"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
defense,"n. 防卫, 防卫物
"
sedition,"n. 煽动骚乱, 暴动, 妨害治安, 骚动
"
statistical,"a. 统计的, 统计上的, 统计学的
"
association,"n. 协会
"
statistics,"n. 统计学, 统计资料
"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
desirable,"a. 令人想望的, 可取的"
preparation,"n. 准备, 预备, 预习
"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
deteriorate,v. (使)恶化
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
intensely,adv. 强烈地; 极度; 剧烈地
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
appointment,"n. 约会, 委任的职位, 委派
"
unpretentious,"a. 不铺张的, 不炫耀的, 不装模作样的, 不招摇的, 谦逊的, 质朴的"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
symbolic,"a. 象征的, 符号的
"
embody,"vt. 具体表达, 使具体化
"
outdated,"a. 旧式的, 落伍的, 过时的"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
puritan,"n. 清教徒
a. 清教徒的"
carrier,"n. 运送者, 邮递员, 带菌者
"
circumstance,"n. 环境, 状况, 事件"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
illiquidity,[经] 非流动性
debt,"n. 债务, 罪过
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
arise,"vi. 站立, 出现, 起来"
abiding,"a. 永久的, 持久的, 不变的"
exemplify,"vt. 例证, 例示
"
civilize,"vt. 使开化, 使文明
vi. 变文明"
innate,"a. 先天的, 天生的
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
analogy,"n. 相似, 类似
"
envision,"vt. 想象, 预想"
deduce,"vt. 推论, 演绎出
"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
government,"n. 政府, 内阁
"
regulatory,"a. 受控制的, 统制的, 调整的
"
concerning,"prep. 关于
"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
delinquency,"n. 行为不良, 失职
"
either ... or ...,adv. 不是…就是…，…或…，要么…要么…
upcoming,"a. 即将来临的, 即将出现的"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
extremely,"adv. 极端地, 非常地"
teenager,n. 十三岁到十九岁的少年
supportive,"a. 支撑, 支承, 资助, 赞助, 支援, 经受, 忍受, 扶养, 证实, 鼓励, 维持, 伴奏"
barely,adv. 几乎不
conception,"n. 观念, 概念
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
feverish,"a. 发热的, 极度兴奋的, 不安的"
indictment,"n. 起诉, 控告, 起诉状
"
obliged,a. 感激的；有责任的；必须的
die out,"熄灭, 平息, 消失"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
beaming,"a. 光亮的, 喜气洋洋的, 愉快的"
celebrity,"n. 名声, 名人"
agenda,"pl. 议程, 日常工作事项
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
bureaucracy,"n. 官僚, 官吏
"
bargaining,"n. 讨价还价, 谈判, 交涉
"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
Ottawa,n. 渥太华
disease,"n. 疾病, 弊病
"
bacterial,"a. 细菌的
"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
controversy,"n. 论争, 辩论, 论战, 争论
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
California,n. 加利福尼亚（美国一个州）
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
dominant,"a. 占优势的, 支配的
"
pamphlet,"n. 小册子, 活页文选"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
infrastructure,"n. 基础结构, 基础设施
"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
excessive,"a. 过度的, 过多的, 极端的
"
constraint,"n. 强制, 约束
"
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
predecessor,"n. 前任, 先辈, 前身
"
alphabet,"n. 字母
"
compute,"v. 计算, 估算
n. 计算, 估算"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
silicon,"n. 硅
"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
silt,"n. 淤泥
vt. 使淤塞
vi. 淤塞"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
generate,"vt. 产生, 发生, 导致
"
ethic,"n. 道德规范, 伦理"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
regardless,"a. 不管, 不注意, 不顾"
statesman,n. 政治家
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
depend,"vi. 靠, 视...而定, 信赖"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
empirical,"a. 完全跟据经验的, 经验主义的
"
universality,"n. 普遍性, 一般性, 广泛性
"
trait,"n. 特征, 特性, 一笔, 少许"
result from,"由...产生
"
imagination,"n. 想像, 听觉, 想像力
"
at the mercy of,受...支配
drought,"n. 干旱, 缺乏"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
profitably,"adv. 有利地, 有益地"
apply,"vt. 涂, 应用
vi. 申请, 适用"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
logistics,"n. 后勤学, 后勤
"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
financial,"a. 财政的, 金融的
"
incentive,"n. 动机
a. 激励的"
promising,"a. 有希望的, 前途有望的
"
miniaturization,"n. 微型化
"
surgery,"n. 外科, 手术, 手术室, 换球术"
submillimeter, 亚毫米
accuracy,"n. 精确, 正确
"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
industriousness,n. 勤奋
thrift,"n. 节约, 茂盛, 海石竹"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
morality,"n. 道德, 教训, 品行
"
forbid,"vt. 禁止, 不准, 妨碍
"
embryo,"n. 胚胎, 胎儿, 胚芽
"
offspring,"n. 子孙, 后代, 产物
"
endanger,"vt. 危及
"
profession,"n. 职业, 表白, 声明
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
outsider,"n. 外人, 局外人, 非会员, 外行, 门外汉, 比赛中获胜可能性不大的选手
"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
ethically,adv. 伦理上
organism,"n. 生物, 有机体, 社会组织
"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
migrate,"vi. 移动, 移往, 随季节而移居
"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
circulation,"n. 流通, 循环, 发行量
"
overrule,"vt. 统治, 威压, 打败, 驳回
"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
perpetuity,"n. 永久, 不朽, 终身职位, 终身任期, 永久使用权
"
systematic,"a. 有系统的, 分类上的, 体系的
"
enslavement,"n. 使做奴隶, 使受制, 制服, 束缚, 征服, 奴役
"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
recession,"n. 后退, 凹处, 衰退, 归还
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
requirement,"n. 需求, 必要条件, 要求
"
deter,"vt. 制止, 吓住, 威慑"
exist,"vi. 存在, 生存, 发生"
intricacy,"n. 纷乱, 复杂, 错综"
demographic,"a. 人口统计的
"
inclusive,"a. 包含的, 包括的"
innovative,"a. 革新的, 创新的, 富有革新精神的"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
lump sth. together,把…合在一起(考虑)
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
annoy,"vt. 使恼怒, 骚扰"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
enlightened,"a. 有知识的, 进步的, 文明的"
hypothesis,"n. 假设
"
inappropriate,"a. 不适当的, 不相称的"
emphasize,"vt. 强调, 加强语气, 着重"
determinism,"n. 决定论
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
organic being,无
wholly,"adv. 完全地, 整个, 统统, 全部
"
comprehension,"n. 理解, 包含"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
productivity,"n. 生产力
"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
rebound,"vi. 弹回, 返回, 产生事与愿违的结果
vt. 使弹回, 使返回
n. 反弹, 返回, 篮板球, 振作
rebind的过去式和过去分词"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
underlying,"a. 在下面的
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
feasible,"a. 能实行的, 可行的, 适宜的
"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
biological,"a. 生物学的
"
utopia,"n. 乌托邦, 理想国"
species,"n. 种, 类, 外形
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
disgraced,"a. （人）丢脸的, 耻辱的, 不光彩的"
insist,"v. 坚持, 坚决主张, 强调"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
preceding,"a. 在前的, 前面的
"
abundance,"n. 丰富, 充足, 大量
"
Homo sapiens,n. 智人(现代人的学名)
distribute,"vt. 分配, 散布, 分发
"
adaptable,"a. 能适应的, 适合的, 可修改的"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
baseline,"n. 基线, 基准
"
management,"n. 经营, 支配, 管理
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
detect,"vt. 发现, 察觉, 探测
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
emphasis,"n. 强调, 加强, 重点, 强语气"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
supervision,"n. 监督, 管理
"
regulation,"n. 规则, 管理, 调整
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
so-called,adj. 所谓的
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
bilingual,a. 双语的
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
dealing,"n. 经营行为, 行为, 交易
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
insurance,"n. 保险, 保险业, 保险费
"
minimum,"a. 最小的, 最低的
n. 最小值
"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
element,"n. 元件, 元素, 要素
"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
Olympic,"a. 奥林匹亚的, 奥林匹斯山的, 强有力的, 巨大的"
corporate,"a. 社团的, 合伙的, 公司的
"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
astronaut,"n. 太空旅行者, 宇航员
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
superbly,adv. 雄伟地；壮丽地；上等地；庄重地
soaring,"a. 高飞的, 翱翔的, 高耸入云的, 崇高的, 高涨的
"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
abolish,"vt. 废止, 革除, 消灭
"
federal,"a. 联邦的, 联合的, 同盟的
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
jury,"n. 陪审团, 评判委员会
a. 应急的"
procedure,"n. 程序, 过程, 手续
"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
economic,"a. 经济上的, 实用的, 节省的
"
fragile,"a. 易碎的, 脆的
"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
immigrant,"n. 移民
a. 移入的, 移民的"
category,"n. 种类, 类项
"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
visual,"a. 视觉的
"
occur,"vi. 发生, 被想到, 存在"
conscious,"a. 有意识的, 知觉的, 觉察的
"
deliberation,"n. 熟虑, 熟思, 审议
"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
variety,"n. 多样, 种类, 变种, 杂耍
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
mainland,"n. 大陆, 本土
"
outlet,"n. 出口, 发泄方法, 市场
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
eminent,"a. 显赫的, 杰出的, 有名的"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
dazzling,"a. 眼花缭乱的, 耀眼的"
namely,"adv. 即, 就是, 换句话说"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
rotating,"[医] 旋转的, 转动的"
professor,n. 教授
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
bachelor,"n. 单身汉, 学士
"
degree,"n. 程度, 度数, 学位, 度
"
signature,"n. 签字, 识别标志, 调号
"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
properly,"adv. 适当地, 相当地"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
crammed,"密经, 密纬, 紧挡(织疵)"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
comedy,"n. 喜剧, 有趣的事情"
violently,"adv. 猛烈地, 激烈地, 极端地"
agitated,"a. (表现出)不安/焦虑的, (被)激烈辩论的, (被)热烈讨论的, 颤抖的
"
biotechnology,n. 生物工艺学；生物技术
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
necessity,"n. 需要, 必需品, 必然
"
facilitate,"vt. 使容易, 促进, 帮助
"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
institution,"n. 机构, 惯例, 制度
"
predict,"v. 预知, 预言, 预报"
translation,"n. 翻译, 译文, 转化, 调任, 平移, 转译
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
similar,"a. 相似的, 类似的
n. 相似的东西"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
decrease,"n. 减少, 减少量
v. 减少"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
correlation,"n. 相互关系, 相关, 关联
"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
director,"n. 主管, 导演, 董事
"
