able,"a. 能干的, 能够的"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
curious,"a. 好奇的, 求知的, 古怪的"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
customer,"n. 消费者
"
customize,"vt. 定制, 按规格改制, 定做
"
guest,"n. 客人, 来宾, 旅客
"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
hobby,"n. 嗜好, 癖好, 爱好"
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
kill,"n. 杀, 杀戮, 小河
vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决
vi. 杀死
"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
bury,"vt. 埋葬, 埋藏"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
decide,"v. 决定, 判决"
determine,"v. 决定, 决心"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
low,"n. 低点, 低价, 低, 牛叫声
a. 低的, 消沉的, 低等的, 浅的, 卑贱的
adv. 低下地, 谦卑地, 低
vi. 牛叫"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
quick,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的
adv. 快
n. 新长出的肉, 要害, 核心, 感觉敏锐部位"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
big,"a. 大的, 重要的
adv. 大量地"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
huge,"a. 极大的, 巨大的, 无限的"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
tiny,"a. 很少的, 微小的"
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
soft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
timely,"a. 及时的, 适时的
adv. 及时地"
delete,"vt. 删除
"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
depend,"vi. 靠, 视...而定, 信赖"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
dictionary,"n. 字典, 词典
"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
preposition,"n. 前置词, 介词"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
grammar,"n. 语法学, 入门书
"
different,"a. 不同的
"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
similar,"a. 相似的, 类似的
n. 相似的东西"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
difficult,a. 困难的
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
discontent,n. 不满
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
enjoy,"vt. 享受, 喜欢, 欣赏
"
fond,"a. 喜欢的, 宠爱的, 温柔的"
prefer,"vt. 宁可, 较喜欢, 提出
"
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
distant,"a. 远的, 疏远的
"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
doll,"n. 洋娃娃, 无头脑的美丽女人"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
door,n. 门
gate,"n. 门, 牌楼, 大门, 通道, 闸
vt. 装门于
"
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
windscreen,n. 汽车的挡风玻璃
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
downstairs,"n. 楼下
a. 楼下的
adv. 在楼下"
storey,"n. 楼, 楼层, 层楼"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
practise,"v. 实践, 实行, 练习, 实习, 从事(职业)"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
drown,"vi. 淹死
vt. 把...淹死, 淹没"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
duty,"n. 责任, 关税, 职务, 尊敬
"
early,"a. 早的, 早熟的
adv. 很早, 初"
lately,"adv. 近来, 最近"
recent,"a. 最近的, 近代的, 最新的
"
soon,"adv. 不久, 早, 快, 宁可"
during,prep. 在...的时候
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
sun,"n. 太阳, 日, 日光, 阳光
vt. 晒
vi. 晒太阳"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
effort,"n. 努力, 成就"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
telegram,"n. 电报, 一封电报
"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
radio,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台
v. 用无线电发送"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
television,"n. 电视
"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
laptop,[计] 膝上型的
computer,"n. 电脑, 电子计算机
"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
web,"n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸
vi. 结网, 形成网
vt. 织蜘蛛网于, 使落入圈套"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
data,"pl. 资料, 数据
"
emotion,"n. 情绪, 激动, 强烈的情感
"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
energy,"n. 精力, 精神, 活力, 能量
"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
"
envelope,"n. 信封, 封套, 封袋
"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
postcard,n. 明信片
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
righteous,"a. 公正的, 正义的, 正直的
"
equipment,"n. 装备, 设备, 才能
"
tool,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
ever,"adv. 曾经, 究竟, 永远"
whatever,pron. 无论什么
whoever,"pron. 任何人, 无论谁"
whenever,"conj. 每当
adv. 不论何时, 每逢"
wherever,adv. 无论哪里
whether,"conj. 是否, 不论
pron. 两个中的哪一个"
examine,"v. 检查, 调查, 考试"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
laboratory,"n. 实验室, 研究室, 化工厂
"
lab,"n. 实验室, 研究室
"
exhibition,"n. 表现, 展览会, 展览品
"
museum,n. 博物馆
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
exist,"vi. 存在, 生存, 发生"
expression,"n. 表达, 表现, 词语, 措辞
"
explain,"v. 解释, 说明"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
extremely,"adv. 极端地, 非常地"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
quite,"adv. 相当, 完全, 十分"
rather,"adv. 宁可, 稍微, 相当"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
success,"n. 成功, 成就, 胜利"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
victory,"n. 胜利, 战胜, 克服"
famous,"a. 出名的, 极好的"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
suitable,"a. 适当的, 相配的
"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
memo,"n. 备忘录
"
remind,"vt. 提醒, 使想起"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
often,"adv. 时常, 常常"
always,"adv. 总是, 始终"
almost,"adv. 几乎, 差不多"
nearly,"adv. 几乎, 密切地"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
hardly,"adv. 刚刚, 几乎不, 勉强是"
never,"adv. 从不, 决不, 不曾
"
from,"prep. 从, 来自, 根据"
till,"prep. 直到, 在...以前, 迄
conj. 直到...为止
vt. 耕种
n. 放钱的抽屉, 备用现金, 冰碛"
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
generation,"n. 一代, 一世, 产生
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
gentle,"a. 温和的, 文雅的"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
smell,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息
vt. 闻, 探出, 察觉, 发出...的气味
vi. 嗅, 散发气味, 发臭"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
instruction,"n. 指令, 教导, 命令
"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
she,pron. 她
it,"pron. 它
"
they,"pron. 他们, 它们"
our,pron. 我们的
your,"pron. 你的, 你们的"
my,"pron. 我的
"
self,"n. 自己, 自我, 本性, 本质, 私心, 本人
vt. 使近亲繁殖, 使自花授精
vi. 自花授精
a. 同一的"
here,"adv. 在这里, 此时, 这里
n. 这里"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
mountain,"n. 山, 山脉, 大堆"
volcano,n. 火山
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
honest,"a. 诚实的, 坦直的, 可靠的"
