accustom,vt. 使习惯于
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
tricky,"a. 狡猾的, 机敏的"
trustworthy,"a. 可信赖的
"
unable,"a. 不能的, 不会的
"
unashamed,"a. 无羞耻心的, 不知耻的, 厚脸无耻的, 问心无愧的
"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
undignified,"a. 不庄严的, 无尊严的"
uneasiness,"n. 不舒适, 不安, 局促"
unreasonable,"a. 不合理的, 过度的, 不切实际的
"
unwilling,"a. 不愿意的, 勉强的
"
unwise,"a. 愚蠢的, 欠考虑的, 不明智的, 轻率的"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
versatile,"a. 多才多艺的, 万用的, 万向的"
vigilant,"a. 警觉的, 警戒的, 警惕的
"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
wink,"n. 眨眼, 使眼色, 瞬间
vi. 眨眼, 使眼色, 闪烁
vt. 眨"
witty,"a. 富于机智的, 诙谐的"
youngster,"n. 小孩, 年轻人, 少年
"
youthful,"a. 年轻的, 青年的
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academy,"n. 学院, 院校, 学会"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
acquire,"vt. 获得, 学到
"
acquisition,"n. 获得, 获得物
"
acquisitive,"a. 渴望获得的, 贪婪的
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adjustment,"n. 调整, 调节, 校正
"
analysis,"n. 分析
"
analyst,"n. 分析者, 精神分析学家
"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
bachelor,"n. 单身汉, 学士
"
bibliography,"n. 参考书目
"
brainless,"a. 无头脑的, 愚笨的"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
burdened,a. 负荷的
campus,"n. 校园, 大学生活"
categorize,"vt. 分类, 归类"
ceremony,"n. 典礼, 仪式, 礼节
"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
classify,"vt. 分类, 归类, 分等
"
classification,"n. 分类, 分级
"
compete,"vi. 竞争, 对抗"
competition,"n. 竞争, 竞赛
"
comprehend,"vt. 理解, 包括"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
conceive,"vt. 构思, 认为
vi. 怀孕"
inconceivable,"a. 不能想象的, 想不到的, 难信的"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
deduce,"vt. 推论, 演绎出
"
deduction,"n. 减除, 扣除, 减除额, 推论
"
deductive,"a. 推论的, 演绎的
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
disciplined,a. 遵守纪律的；受过训练的
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
distort,"vt. 扭曲, 歪曲
"
distorted,a. 歪曲的；受到曲解的
distortion,"n. 扭曲, 变形, 曲解
"
distract,"vt. 转移, 分心, 使发狂"
educate,"vt. 教育, 培养, 训练"
empirical,"a. 完全跟据经验的, 经验主义的
"
endow,"vt. 捐赠, 捐助, 赋予
"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
unenlightened,"a. 愚昧无知的, 未受启发的"
enlightened,"a. 有知识的, 进步的, 文明的"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
excellence,"n. 优秀, 卓越, 优点"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
expertise,"n. 专家意见, 专门技术
"
extensive,"a. 广的, 广泛的, 多方面的
"
extensively,"adv. 广大, 广延, 外延, 大面积(耕种), 粗放, 广博, 广泛, 广阔"
extent,"n. 范围, 程度, 区域
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
fluent,"a. 流利的, 流畅的"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
fractional,"a. 部分的, 碎片的, 微少的, 断片的, 分数的, 分馏的
"
generalise,"vt.vi. (使)一般化, 从...引出一般性结论, 泛论, 概括出, 归纳出, 使广义化"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
generalized,"a. 广义的, 普遍的；无显著特点的"
generalization,"n. 一般化, 普遍化, 概括
"
genius,"n. 天才, 天赋, 精神, 神魔
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
handy,"a. 便利的, 敏捷的, 容易取得的
"
horizon,"n. 地平线, 眼界, (天)视地平"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
inclusive,"a. 包含的, 包括的"
inclusively,adv. 包含地；在内地
instinct,"n. 本能, 直觉
a. 充满着的"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
instruct,"vt. 教, 教育, 命令, 通知
"
instructor,"n. 教员, 讲师
"
instructive,"a. 有益的, 增进知识的"
instruction,"n. 指令, 教导, 命令
"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
instrument,"n. 工具, 手段, 仪器
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intellectualism,"n. 智力活动, 唯理智论"
intellectually,adv. 智力上；知性上；理智地
intelligence,"n. 智力, 情报, 信息
"
intelligent,"a. 聪明的, 智能的, 了解的"
intelligently,"adv. 聪明地, 明智地"
unintelligent,"a. 缺乏才智的, 无知的, 愚蠢的
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
lodging,"n. 寄宿处, 寄宿
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
memorise,"vt. 记住, 熟记, 记录, 存储"
memorize,"vt. 记住, 熟记, 背熟"
mistaken,"a. 犯错的, 错误的
mistake的过去分词"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
modification,"n. 修正, 修饰, 修改
"
narrate,"v. 说故事, 说明, 叙述"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
objectivity,"n. 客观, 客观现实, 客观性
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
obtainable,a. 能得到的
organise,"vt. 组织, 有机化, 给予生机"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
oriented,"a. 导向的
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的
"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
participation,"n. 参与, 分享
"
participatory,"a. 吸引参与的, 供人分享的"
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
persist,"vi. 坚持, 固执, 持续, 坚称
"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
potentiality,"n. 潜在性, 可能性"
potentially,"adv. 可能地, 潜在地"
practise,"v. 实践, 实行, 练习, 实习, 从事(职业)"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
preliminarily, 初步地
presentation,"n. 赠与, 描述, 介绍
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
primarily,"adv. 主要地, 首先地"
principle,"n. 原则, 原理, 主义
"
prolong,"vt. 延长, 拖延, 拖长
"
prolonged,"a. 延续的, 长时间的"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
registered,"a. 注册的, 登记过的, 记名的, 挂号的
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
scheduled,a. 预定的
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
seniority,"n. 长辈, 老资格
"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
unsolved,"a. 未解释的, 未解决的"
solution,"n. 解决, 解答, 溶液
"
specify,"vt. 详列, 指定, 说明
"
specified,a. 规定的；详细说明的
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
stressful,"a. 着重, 强调, 重读, 使受应力"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
subsidise,"vt. 给...补助金, 津贴, 资助"
subsidize,"vt. 补助, 资助, 贿赂
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
targeted, [医]定向的
thesis,"n. 论题, 论文"
hypothesis,"n. 假设
"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transferable,"a. 可转移的
"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
tuition,"n. 学费, 讲授"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
understanding,"n. 理解, 谅解
"
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
undone,"a. 没有做好, 未完成的, 破灭的, 解开的
undo的过去分词"
union,"n. 联盟, 联合, 结合, 工会
"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
vigorously,"adv. 朝气蓬勃, 精力充沛, 壮健, 茁壮, 健壮, 强有力"
academy,"n. 学院, 院校, 学会"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
admission,"n. 准许进入, 入场费, 录用, 承认
"
aeronautics,"n. 航空学, 飞行术
"
aimless,"a. 无目的的, 没有目标的"
algebra,n. 代数学
alphabet,"n. 字母
"
alphabetical,"a. 依字母顺序的, 字母的"
alphabetically,adv. 按字母顺序地
alumna,"n. 女毕业生, 女校友"
alumnus,"n. 男毕业生, 男校友"
antonym,n. 反义词
apostrophe,"n. 撇号, 呼语法"
arc,"n. 弧, 弧形, 弓形, 弧光
"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
arithmetic,"n. 算术, 算术知识
"
attendance,"n. 出席, 出席的人数, 照料
"
audiovisuals,n. 视听教具
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
bilingual,a. 双语的
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
brighten,"vi. 变亮, 活跃
vt. 使生辉, 使快活"
brochure,"n. 小册子, 小册"
calculus,n. 结石；微积分学
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
ceremonial,"n. 仪式
a. 正式的"
chapter,"n. 章, 篇, 重要章节
"
circumference,"n. 圆周, 周缘, 胸围
"
clarity,"n. 清楚, 明晰
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
collegiate,"a. 学院的
"
colon,"n. 冒号, 结肠
"
consonant,"n. 辅音
a. 一致的, 调和的"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
countable,"a. 能算的, 可计算的
n. 可数的东西, 可数名词"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
cubic,"a. 立方体的, 立方的
"
cultivated,"a. 耕耘的, 栽植的, 有教养的"
cultural,"a. 文化的, 教养的, 修养的
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
deadline,"n. 最后期限, 截止期限
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
denominator,"n. 分母, 命名者
"
diction,"n. 措辞, 发音, 用语"
diligence,n. 勤奋
diligent,"a. 勤勉的, 用功的"
diploma,"n. 文凭, 毕业证书
"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
dissertation,n. 论文
educational,"a. 教育的, 教育性的"
elementary,"a. 初步的, 基本的
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
enrol,"vt. 登记, 使加入
vi. 参军, 注册"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
essayist,"n. 随笔作家, 评论家"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
"
finding,"n. 发现, 发现物, 决定, 裁决
"
forestry,"n. 林学, 森林地
"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
generalisation,"n. 概括, 普遍化, 一般化, 归纳"
generalization,"n. 一般化, 普遍化, 概括
"
geometric,"a. 几何学的, 几何学上的, 几何学图形的"
geometry,"n. 几何学
"
geopolitics,n. 地缘政治学
gist,"n. 要点, 要旨, 依据
"
guidance,"n. 指导, 领导
"
handout,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
handwriting,n. 笔迹
hardback,"a. 硬封面的
n. 精装本"
heading,"n. 标题, 起始字, 方向
"
histogram,"n. 直方图
"
hopper,"n. 跳跃的东西, 单足跳者, 跳虫
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
ideological,"a. 意识形态的, 空想的
"
illuminating,a. 有启发性的
illustration,"n. 例证, 插图
"
illustrative,"a. 说明的, 解说的, 作例证的"
industrious,"a. 勤勉的, 刻苦的"
informative,"a. 提供消息的, 见闻广博的"
informed,a. 见多识广的
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
inspiring,a. 鼓舞人心的
instructive,"a. 有益的, 增进知识的"
instructor,"n. 教员, 讲师
"
instrument,"n. 工具, 手段, 仪器
"
intellect,"n. 智力, 出众的才华, 知识分子
"
introduction,"n. 介绍, 传入, 采用, 初步"
introductory,"a. 介绍的, 引导的, 开端的"
keynote,"n. 主调音, 基音, 基调
vt. 说明基本政策, 定基调"
knowledgeable,"a. 聪明的, 有知识的"
laureate,"a. 戴桂冠的, 用月桂树枝编织成的, 荣誉的
n. 桂冠诗人
vt. 使戴桂冠"
learned,"a. 有学问的, 学术上的
learn的过去式和过去分词"
learning,"n. 学问, 学识, 学习
"
librarian,"n. 图书馆员, 图书管理员
"
linguistics,n. 语言学
linguistic,"a. 语言的, 语言学的
"
linguist,n. 语言学家
literacy,"n. 读写能力, 识字, 精通文学"
marketing,"n. 行销, 买卖
"
materialism,n. 唯物主义
mathematician,n. 数学家
mentality,"n. 精神力, 智力, 头脑作用, 心态
"
multimedia,"n. 多媒体
"
optics,"n. 光学
"
option,"n. 选择权, 挑选, 选项
"
optional,"a. 可选择的, 随意的
"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
participle,n. 分词
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
philosophical,"a. 哲学的, 冷静的, 达观的, 哲学上的, 哲学家似的"
phonetic,"a. 语音的, 语音学的, 表示语音的, 语音差异的
"
physicist,"n. 物理学家, 机械唯物论者, 自然科学家
"
plural,"n. 复数
a. 复数的, 两个以上的"
polytechnic,"a. 各种工艺的, 工艺教育的
n. 工艺专科学校, 理工专科学校"
predicate,"n. 谓语, 谓项
a. 谓语的
vt. 断定为, 使基于, 意味着, 预言
vi. 断言
"
prefix,"前缀, 称谓
"
preposition,"n. 前置词, 介词"
pretext,"n. 借口, 托词
v. 以...为借口"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
proofread,"vt. 校正, 校对"
punctuation,"n. 标点, 标点符号
"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
reading,"n. 阅读, 知识, 读物
a. 阅读的"
recite,"v. 背诵, 朗读, 叙述"
recitation,"n. 详述, 吟诵, 背诵的诗
"
regency,"n. 摄政统治, 摄政权, 摄政统治区
"
