nursery,"n. 托儿所, 苗圃, 温床
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
constitute,"vt. 构成, 组成, 任命
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
category,"n. 种类, 类项
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
disclose,"vt. 揭露, 透露
"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
feasible,"a. 能实行的, 可行的, 适宜的
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
embryo,"n. 胚胎, 胎儿, 胚芽
"
durable,"a. 持久的, 耐用的"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
acquire,"vt. 获得, 学到
"
diminish,"v. (使)减少, (使)变小"
elite,"n. 精华, 精锐, 中坚分子"
institution,"n. 机构, 惯例, 制度
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
depict,"vt. 描述, 描写"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
instil,"vt. 滴注, 逐渐灌输, 不断灌输
"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
constrain,"vt. 强迫, 限制, 关押"
constraint,"n. 强制, 约束
"
stove,"n. 火炉, 窑
vt. 用火炉烤
stave的过去式和过去分词"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
entity,"n. 实体, 实存物, 存在
"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
enrage,"vt. 激怒, 使暴怒"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
endanger,"vt. 危及
"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
tendency,"n. 趋向, 倾向
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
boundary,"n. 边界, 分界线
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
superiority,"n. 优越, 高傲
"
hypothesis,"n. 假设
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
habitual,"a. 习惯的, 惯常的, 平常的
"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
distinguish,"v. 区别, 辨别"
immense,"a. 极广大的, 无边的, 非常好的"
conservation,"n. 保护, 保存
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
outbreak,"n. 爆发, 暴动
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
dosage,"n. 剂量, 用量, 配药
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
supervise,"v. 监督, 管理, 指导"
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
pinpoint,"n. 极小之物, 针尖, 立锥之地, 精确位置
vt. 精确地找到, 准确地轰炸, 刺穿, 准确描述, 使突出, 强调
a. 针尖的, 极微的, 精确的, 详尽的, 精确定位的"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
pollutant,"n. 污染物质
"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
throne,"n. 王座, 君主"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
dampen,"vt. 弄湿, 使沮丧
vi. 变湿, 丧气"
alliance,"n. 联盟, 联合
"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
assess,"vt. 估定, 对...征税, 评定
"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
chunk,"n. 大块, 矮胖的人(或物)
"
recount,"vt. 详述, 叙述, 重新计算
n. 重新计算"
distract,"vt. 转移, 分心, 使发狂"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
compete,"vi. 竞争, 对抗"
competitive,"a. 竞争的
"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
integrity,"n. 正直, 廉正, 完整
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
mania,"n. 狂躁, 热衷, 狂热
"
successive,"a. 继承的, 连续的
"
anthropology,"n. 人类学
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
symphony,"n. 交响乐, 交响曲"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
ascribe,"vt. 归因于, 归咎于
"
biotic,"a. 生命的, 生物的
"
akin,"a. 同类的, 同族的, 同源的"
legislation,"n. 立法, 法律
"
standpoint,"n. 立场, 观点"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
multitude,"n. 多数, 群众"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
feedback,"n. 反馈, 反应
"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
fragment,"n. 碎片, 破片, 片段
"
commemorate,vt. 纪念
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
engrave,"vt. 刻上, 雕刻, 铭记"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
inflation,"n. 胀大, 夸张, 通货膨胀
"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
acquisition,"n. 获得, 获得物
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
detrimental,a. 有害的
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
withstand,"vt. 抵住, 顶住, 经得起"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
microscope,"n. 显微镜
"
aesthetic,"a. 美学的, 审美的, 有美感的"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
predetermine,"vt. 预先决定, 预先查明
"
subsidy,"n. 补助金, 津贴
"
subsidise,"vt. 给...补助金, 津贴, 资助"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
physician,"n. 医师, 内科医师, 解除痛苦者
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
preceding,"a. 在前的, 前面的
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
unprecedented,"a. 空前的
"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
elicit,"vt. 引出, 推导出, 引起"
controversy,"n. 论争, 辩论, 论战, 争论
"
controversial,"a. 争论的, 论争的, 被议论的"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
census,"n. 户口普查
vt. 实施统计调查"
dilemma,"n. 困境, (进退两难的)窘境"
entrepreneur,"n. 企业家, 主办人
"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
deception,"n. 欺骗, 诡计
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
fraction,"n. 小部分, 破片, 分数
"
diagnose,v. 诊断
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
impoverish,"vt. 使贫穷, 耗尽...的力气"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
analogous,"a. 类似的, 相似的
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
democrat,"n. 民主人士, 民主主义者, 民主党党员
"
democratic,"a. 民主的
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
cargo,"n. 货物
"
constitution,"n. 构成, 宪法, 体格
"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
encode,"vt. 把(电文、情报等)译成密码
"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
degrade,"v. (使)降级, (使)退化"
misconception,n. 误解
deteriorate,v. (使)恶化
mobilise,"vi.vt. 动员, 松动, 使活动, 调动, 发动"
explicit,"a. 详述的, 清楚的, 直言的"
exclusive,"a. 排外的, 独占的, 唯一的
"
derive,"vt. 得自
vi. 起源"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
courtship,"n. 求爱, 求婚, 求爱时期"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
advent,"n. 来到, 来临"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
inevitable,"a. 不可避免的, 必然的
"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
carrier,"n. 运送者, 邮递员, 带菌者
"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
specify,"vt. 详列, 指定, 说明
"
gigantic,"a. 巨人般的, 巨大的"
premier,"n. 总理, 首相
a. 首位的, 最初的"
precise,"a. 精确的, 严谨的, 明确的
"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
scarcity,"n. 缺乏, 不足, 缺少
"
outlet,"n. 出口, 发泄方法, 市场
"
conjunction,"n. 连接词, 联合, 结合
"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
crystallise,"vi.vt. (使)结晶, (使)定形, 明朗化, (使)具体化
vt. 给裹上糖屑"
subsequent,"a. 后来的, 接下去的
"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
zenith,n. 顶点；最高点；顶峰
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
consensus,"n. 合意, 一致, 同感
"
cease,"n. 停止
v. 停止, 终了"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
credential,"n. 国书, 凭据, 证明书
"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
nonverbal,a. 不用语言的；不用动词的
deduce,"vt. 推论, 演绎出
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
inject,"vt. 注射, 注入, 使入轨
"
injection,"n. 注射, 注射剂
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
assembly,"n. 与会者, 集会, 装配, 组件
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
garment,"n. 衣服, 衣装, 外表"
ample,"a. 大量的, 充足的, 丰富的"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
monopoly,"n. 垄断, 专卖权, 独占事业
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
deem,"v. 认为, 相信"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
validity,"n. 有效性, 正确性
"
spatial,"a. 空间的, 受空间条件限制的, 占地位的
"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
stimulus,"n. 刺激, 激励, 刺激品
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
overrule,"vt. 统治, 威压, 打败, 驳回
"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
biography,n. 传记
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
compulsory,"a. 被强制的, 强迫的, 义务的
"
resemble,"vt. 相似, 类似"
frenzy,"n. 疯狂, 狂暴, 狂怒
"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
alter,v. 改变
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
inherent,"a. 固有的, 与生俱来的
"
practitioner,"n. 从业者, 开业者
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
amass,"vt. 积聚, 堆积"
analogy,"n. 相似, 类似
"
provincial,"n. 外地人, 粗野的人
a. 省的, 外地的, 偏狭的"
prestige,"n. 声望, 威望, 威信
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
immerse,"vt. 沉浸, 使陷入
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
barn,"n. 谷仓
"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
satire,"n. 讽刺文学, 讽刺"
infection,"n. 传染, 影响, 传染病
"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
empirical,"a. 完全跟据经验的, 经验主义的
"
vanish,"vi. 消失, 不见, 成为零"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
vulnerability,"n. 易受伤, 易受责难, 易受伤部位
"
hospitality,"n. 款待, 亲切, 殷勤"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
dialect,"n. 方言, 同源语"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
plateau,"n. 高地, 高原, (上升后的)稳定水平
"
displacement,"n. 换置, 移位, 移动, 取代
"
cognitive,"a. 认知的, 认识的"
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manifestation,"n. 显示, 证明, 示威运动
"
terminology,"n. 术语, 术语学
"
senate,"n. 参议院, 立法机构, 评议会"
novelty,"n. 新奇, 新鲜, 新奇的事物"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
innate,"a. 先天的, 天生的
"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
foresight,"n. 远见, 深谋远虑
"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
prevail,"vi. 获胜, 流行, 盛行
"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
adjoin,"v. 邻接, 毗连"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
