accuracy,"n. 精确, 正确
"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
hospitality,"n. 款待, 亲切, 殷勤"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
inquiry,"n. 质询, 探索, 调查, 询盘
"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
outcome,"n. 结果, 出口"
paralyze,"vt. 使瘫痪, 使麻痹
"
paralyse,"vt. 使麻痹, 使瘫痪, 使无力, 使气馁, 终止
"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
probability,"n. 可能性, 或然率, 几率, 概率
"
racial,"a. 人种的, 种族的
"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
status,"n. 状态, 情形, 地位, 要人身份
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
unify,"v. 统一, 使成一体"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
wealthy,"a. 富有的, 丰裕的, 充分的"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
ambiguous,"a. 不明确的, 模棱两可的
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
beloved,"a. 心爱的
n. 心爱的人"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
cognitive,"a. 认知的, 认识的"
compensate,"v. 偿还, 补偿, 付报酬"
compensation,"n. 补偿, 赔偿金, 工资
"
contrive,"v. 发明, 设计, 图谋"
deserve,"vt. 该得到, 值得
vi. 应得报答"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
distribute,"vt. 分配, 散布, 分发
"
durable,"a. 持久的, 耐用的"
duration,"n. 持续时间, 持续
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
expend,"vt. 花费, 消耗, 用光"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
generate,"vt. 产生, 发生, 导致
"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
internal,"a. 内在的, 国内的
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
liberate,"vt. 解放, 释放, 使自由
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
mostly,"adv. 大概, 大部分, 主要
"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
preferable,"a. 更可取的, 更好的, 更合意的"
preference,"n. 偏爱, 优先, 喜爱物
"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
rack,"n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团
vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问
vi. 变形, 倾斜, (云)随风飘, (马)小步跑
"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
tide,"n. 潮, 潮汐, 趋势, 潮流, 涨潮, 高潮
vt. 使随潮漂流
vi. 顺潮行驶"
versatile,"a. 多才多艺的, 万用的, 万向的"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
ambition,"n. 野心, 志向"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
appetite,"n. 食欲, 欲望, 爱好
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assembly,"n. 与会者, 集会, 装配, 组件
"
avail,"vi. 有用, 有利
vt. 有利于
n. 效用, 利益"
available,"a. 可利用的, 可获得的, 有效的
"
beneath,"prep. 在...下方
adv. 在...下方"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
boundary,"n. 边界, 分界线
"
candidate,"n. 候选人, 投考者
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
cohesive,"a. 黏合在一起的
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
controversial,"a. 争论的, 论争的, 被议论的"
crime,"n. 犯罪, 罪行, 罪恶
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
dedicate,"vt. 献出, 贡献"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
discern,"v. 辨别, 看清楚, 了解"
disturb,"vt. 扰乱, 妨碍, 使不安
"
disturbance,"n. 扰乱, 不安, 忧虑
"
elite,"n. 精华, 精锐, 中坚分子"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
foundation,"n. 基础, 根据, 建立
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
impair,"vt. 损害, 减少, 削弱
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
insight,"n. 察看, 洞察力, 见识
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
malignant,"a. 有恶意的, 恶性的, 有害的
"
migrate,"vi. 移动, 移往, 随季节而移居
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
resemble,"vt. 相似, 类似"
revenue,"n. 收入, 岁入, 税收, 税务局
"
scarce,"a. 难得的, 稀罕的, 缺乏的"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
speculate,"vi. 深思, 推测, 投机
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
timely,"a. 及时的, 适时的
adv. 及时地"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
unique,"a. 独一无二的, 独特的, 稀罕的"
version,"n. 一种描述, 版本, 译文
"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
advisable,"a. 适当的, 明智的"
appliance,"n. 器械, 用具, 应用
"
applicable,"a. 合适的, 可应用的
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
competition,"n. 竞争, 竞赛
"
competitive,"a. 竞争的
"
concise,"a. 简洁的, 简明的"
deduce,"vt. 推论, 演绎出
"
desirable,"a. 令人想望的, 可取的"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
exaggerate,"v. 夸大, 夸张"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
expertise,"n. 专家意见, 专门技术
"
flatter,"vt. 奉承, 阿谀, 使高兴
"
fraction,"n. 小部分, 破片, 分数
"
genius,"n. 天才, 天赋, 精神, 神魔
"
genuine,"a. 真正的, 真实的, 诚恳的
"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
impart,"vt. 给予, 传授, 告知"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
kidnap,"vt. 绑架, 诱拐, 拐骗
"
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
management,"n. 经营, 支配, 管理
"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
nominate,"vt. 提名, 任命, 命名
"
occurrence,"n. 发生, 事件, 出现
"
outlook,"n. 观点, 景色, 前途, 了望
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
procedure,"n. 程序, 过程, 手续
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
prospective,"a. 预期的, 将来的
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
recognise,"vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
resent,"vt. 愤恨, 憎恶, 怨恨"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
subsequent,"a. 后来的, 接下去的
"
technology,"n. 技术, 工业技术, 术语
"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
vertical,"a. 垂直的, 直立的
"
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西
vt. 楔住, 挤进, 楔入
vi. 楔入, 挤进"
